
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности; Сварочное;..."
	
Направление	Заказ.Дата.Конец дня	Организация	Канал сбыта	Количество заказов	Сумма Руб.
Насосное	16.01.2017 23:59:59	PУТЕКТОР	Розница	14	3 315 803,43
Подготовка поверхности	16.01.2017 23:59:59	PУТЕКТОР	Дилер	1	107 370,86
Подготовка поверхности	16.01.2017 23:59:59	PУТЕКТОР	Розница	3	725 474,66
Сварочное	16.01.2017 23:59:59	PУТЕКТОР	Дилер	3	672 974,84
Сварочное	16.01.2017 23:59:59	PУТЕКТОР	КПК	1	2 016 000,00
Сварочное	16.01.2017 23:59:59	PУТЕКТОР	Розница	7	3 970 916,35
Химическое	16.01.2017 23:59:59	PУТЕКТОР	Розница	1	22 632,98
АТП	17.01.2017 23:59:59	PУТЕКТОР	Розница	1	24 871,84
Дуговая сварка.	17.01.2017 23:59:59	PУТЕКТОР	Розница	2	241 868,27
ЗЧ и РМ	17.01.2017 23:59:59	PУТЕКТОР	Дилер	12	182 880,36
ЗЧ и РМ	17.01.2017 23:59:59	PУТЕКТОР	КПК	1	183 554,06
ЗЧ и РМ	17.01.2017 23:59:59	PУТЕКТОР	Розница	29	648 668,69
Компрессорное	17.01.2017 23:59:59	PУТЕКТОР	Дилер	4	97 643,54
Компрессорное	17.01.2017 23:59:59	PУТЕКТОР	Розница	5	1 076 901,27
Насосное	17.01.2017 23:59:59	PУТЕКТОР	Дилер	8	364 736,75
Насосное	17.01.2017 23:59:59	PУТЕКТОР	КПК	1	200 000,00
Насосное	17.01.2017 23:59:59	PУТЕКТОР	Розница	8	512 195,30
Подготовка поверхности	17.01.2017 23:59:59	PУТЕКТОР	Дилер	2	134 380,00
Подготовка поверхности	17.01.2017 23:59:59	PУТЕКТОР	Розница	2	148 874,50
Сварочное	17.01.2017 23:59:59	PУТЕКТОР	Дилер	1	19 196,87
Сварочное	17.01.2017 23:59:59	PУТЕКТОР	Розница	6	2 133 437,15
Химическое	17.01.2017 23:59:59	PУТЕКТОР	Дилер	1	33 891,71
Химическое	17.01.2017 23:59:59	PУТЕКТОР	Розница	1	104 092,44
Дуговая сварка.	18.01.2017 23:59:59	PУТЕКТОР	Розница	3	90 020,97
ЗЧ и РМ	18.01.2017 23:59:59	PУТЕКТОР	Дилер	14	140 170,24
ЗЧ и РМ	18.01.2017 23:59:59	PУТЕКТОР	Розница	29	433 228,14
Компрессорное	18.01.2017 23:59:59	PУТЕКТОР	Дилер	5	315 131,48
Компрессорное	18.01.2017 23:59:59	PУТЕКТОР	Розница	5	366 145,09
Насосное	18.01.2017 23:59:59	PУТЕКТОР	Дилер	13	881 933,10
Насосное	18.01.2017 23:59:59	PУТЕКТОР	КПК	1	400 000,00
Насосное	18.01.2017 23:59:59	PУТЕКТОР	Розница	19	1 323 757,61
Подготовка поверхности	18.01.2017 23:59:59	PУТЕКТОР	Дилер	3	461 369,01
Подготовка поверхности	18.01.2017 23:59:59	PУТЕКТОР	Розница	3	74 856,70
Сварочное	18.01.2017 23:59:59	PУТЕКТОР	Дилер	1	127 041,12
Сварочное	18.01.2017 23:59:59	PУТЕКТОР	Розница	2	200 124,97
Химическое	18.01.2017 23:59:59	PУТЕКТОР	Дилер	2	126 572,80
Химическое	18.01.2017 23:59:59	PУТЕКТОР	КПК	1	264 532,72
Химическое	18.01.2017 23:59:59	PУТЕКТОР	Розница	1	66 419,08
НГО	18.01.2017 23:59:59	Рутектор	КПК	1	1 106 579,85
ЗЧ и РМ	19.01.2017 23:59:59	PУТЕКТОР	Дилер	14	627 159,85
ЗЧ и РМ	19.01.2017 23:59:59	PУТЕКТОР	КПК	2	223 996,00
ЗЧ и РМ	19.01.2017 23:59:59	PУТЕКТОР	Розница	36	1 581 407,39
Компрессорное	19.01.2017 23:59:59	PУТЕКТОР	Дилер	2	53 600,00
Компрессорное	19.01.2017 23:59:59	PУТЕКТОР	Розница	8	1 327 162,50
Насосное	19.01.2017 23:59:59	PУТЕКТОР	Дилер	7	564 787,56
Насосное	19.01.2017 23:59:59	PУТЕКТОР	КПК	1	44 257,64
Насосное	19.01.2017 23:59:59	PУТЕКТОР	Розница	16	1 862 541,10
Подготовка поверхности	19.01.2017 23:59:59	PУТЕКТОР	Дилер	2	19 879,84
Подготовка поверхности	19.01.2017 23:59:59	PУТЕКТОР	Розница	2	62 811,00
Сварочное	19.01.2017 23:59:59	PУТЕКТОР	Дилер	2	27 385,36
Сварочное	19.01.2017 23:59:59	PУТЕКТОР	Розница	2	41 000,00
Химическое	19.01.2017 23:59:59	PУТЕКТОР	Розница	4	481 288,57
Автосервис	20.01.2017 23:59:59	PУТЕКТОР	Розница	1	178 000,00
Дуговая сварка.	20.01.2017 23:59:59	PУТЕКТОР	Розница	1	52 824,70
ЗЧ и РМ	20.01.2017 23:59:59	PУТЕКТОР	Дилер	10	410 373,10
ЗЧ и РМ	20.01.2017 23:59:59	PУТЕКТОР	КПК	1	172 050,00
ЗЧ и РМ	20.01.2017 23:59:59	PУТЕКТОР	Розница	23	1 082 793,81
Компрессорное	20.01.2017 23:59:59	PУТЕКТОР	Дилер	4	190 952,21
Компрессорное	20.01.2017 23:59:59	PУТЕКТОР	Розница	4	283 459,73
Металлообработка	20.01.2017 23:59:59	PУТЕКТОР	Розница	1	26 535,73
Насосное	20.01.2017 23:59:59	PУТЕКТОР	Дилер	5	336 432,57
Насосное	20.01.2017 23:59:59	PУТЕКТОР	Розница	8	1 026 776,60
Подготовка поверхности	20.01.2017 23:59:59	PУТЕКТОР	Дилер	3	177 215,40
Подготовка поверхности	20.01.2017 23:59:59	PУТЕКТОР	КПК	1	43 000,00
Подготовка поверхности	20.01.2017 23:59:59	PУТЕКТОР	Розница	7	422 023,53
Сварочное	20.01.2017 23:59:59	PУТЕКТОР	Дилер	2	114 204,51
Сварочное	20.01.2017 23:59:59	PУТЕКТОР	Розница	5	2 394 180,77
Химическое	20.01.2017 23:59:59	PУТЕКТОР	Дилер	3	417 027,89
Химическое	20.01.2017 23:59:59	PУТЕКТОР	Розница	1	475 540,43
Автосервис	23.01.2017 23:59:59	PУТЕКТОР	Розница	1	9 000,00
Дуговая сварка.	23.01.2017 23:59:59	PУТЕКТОР	Розница	2	350 232,10
ЗЧ и РМ	23.01.2017 23:59:59	PУТЕКТОР	Дилер	12	141 966,55
ЗЧ и РМ	23.01.2017 23:59:59	PУТЕКТОР	Розница	25	2 159 227,70
Компрессорное	23.01.2017 23:59:59	PУТЕКТОР	Дилер	3	249 861,61
Компрессорное	23.01.2017 23:59:59	PУТЕКТОР	Розница	7	526 519,30
Насосное	23.01.2017 23:59:59	PУТЕКТОР	Дилер	11	670 907,73
Насосное	23.01.2017 23:59:59	PУТЕКТОР	Розница	8	425 063,38
Подготовка поверхности	23.01.2017 23:59:59	PУТЕКТОР	Дилер	1	488,00
Подготовка поверхности	23.01.2017 23:59:59	PУТЕКТОР	Розница	3	31 699,77
Сварочное	23.01.2017 23:59:59	PУТЕКТОР	Дилер	2	370 701,99
Сварочное	23.01.2017 23:59:59	PУТЕКТОР	Розница	5	232 793,92
Химическое	23.01.2017 23:59:59	PУТЕКТОР	КПК	1	36 249,94
Химическое	23.01.2017 23:59:59	PУТЕКТОР	Розница	2	576 501,10
Дуговая сварка.	24.01.2017 23:59:59	PУТЕКТОР	Дилер	1	20 781,28
Дуговая сварка.	24.01.2017 23:59:59	PУТЕКТОР	Розница	1	8 071,10
ЗЧ и РМ	24.01.2017 23:59:59	PУТЕКТОР	Дилер	19	477 774,05
ЗЧ и РМ	24.01.2017 23:59:59	PУТЕКТОР	КПК	2	114 344,73
ЗЧ и РМ	24.01.2017 23:59:59	PУТЕКТОР	Розница	23	492 902,95
Компрессорное	24.01.2017 23:59:59	PУТЕКТОР	Дилер	1	66 400,00
Компрессорное	24.01.2017 23:59:59	PУТЕКТОР	Розница	5	103 997,33
Насосное	24.01.2017 23:59:59	PУТЕКТОР	Дилер	13	969 890,15
Насосное	24.01.2017 23:59:59	PУТЕКТОР	КПК	2	161 537,00
Насосное	24.01.2017 23:59:59	PУТЕКТОР	Розница	15	661 890,04
Сварочное	24.01.2017 23:59:59	PУТЕКТОР	Розница	4	395 854,81
Химическое	24.01.2017 23:59:59	PУТЕКТОР	Дилер	1	28 518,31
Химическое	24.01.2017 23:59:59	PУТЕКТОР	Розница	3	426 441,00
Дуговая сварка.	25.01.2017 23:59:59	PУТЕКТОР	Розница	1	30 885,71
ЗЧ и РМ	25.01.2017 23:59:59	PУТЕКТОР	Дилер	15	341 746,87
ЗЧ и РМ	25.01.2017 23:59:59	PУТЕКТОР	Розница	33	2 799 617,90
Компрессорное	25.01.2017 23:59:59	PУТЕКТОР	Дилер	1	139 333,28
Компрессорное	25.01.2017 23:59:59	PУТЕКТОР	Розница	7	1 461 964,59
Насосное	25.01.2017 23:59:59	PУТЕКТОР	Дилер	12	1 057 062,39
Насосное	25.01.2017 23:59:59	PУТЕКТОР	Розница	10	627 769,15
Подготовка поверхности	25.01.2017 23:59:59	PУТЕКТОР	Дилер	1	38 491,61
Подготовка поверхности	25.01.2017 23:59:59	PУТЕКТОР	Розница	3	403 785,27
Сварочное	25.01.2017 23:59:59	PУТЕКТОР	Дилер	2	853 799,89
Сварочное	25.01.2017 23:59:59	PУТЕКТОР	Розница	6	601 702,42
Химическое	25.01.2017 23:59:59	PУТЕКТОР	Розница	3	412 355,24
Автосервис	26.01.2017 23:59:59	PУТЕКТОР	Розница	1	15 500,00
Дуговая сварка.	26.01.2017 23:59:59	PУТЕКТОР	Дилер	2	18 710,49
Дуговая сварка.	26.01.2017 23:59:59	PУТЕКТОР	Розница	3	192 990,36
ЗЧ и РМ	26.01.2017 23:59:59	PУТЕКТОР	Дилер	9	97 745,33
ЗЧ и РМ	26.01.2017 23:59:59	PУТЕКТОР	КПК	2	247 382,77
ЗЧ и РМ	26.01.2017 23:59:59	PУТЕКТОР	Розница	22	404 873,93
Комплексные поставки	26.01.2017 23:59:59	PУТЕКТОР	КПК	1	122 438,22
Компрессорное	26.01.2017 23:59:59	PУТЕКТОР	Дилер	3	1 104 422,13
Компрессорное	26.01.2017 23:59:59	PУТЕКТОР	Розница	7	623 806,84
Насосное	26.01.2017 23:59:59	PУТЕКТОР	Дилер	21	909 805,89
Насосное	26.01.2017 23:59:59	PУТЕКТОР	Розница	13	983 340,60
НГО	26.01.2017 23:59:59	PУТЕКТОР	КПК	1	5 969 058,56
Подготовка поверхности	26.01.2017 23:59:59	PУТЕКТОР	Дилер	1	15 130,00
Подготовка поверхности	26.01.2017 23:59:59	PУТЕКТОР	Розница	2	26 560,09
Сварочное	26.01.2017 23:59:59	PУТЕКТОР	Дилер	1	4 376,35
Сварочное	26.01.2017 23:59:59	PУТЕКТОР	Розница	8	1 896 084,41
Химическое	26.01.2017 23:59:59	PУТЕКТОР	Розница	8	1 506 661,50
ЗЧ и РМ	26.01.2017 23:59:59	Рутектор	КПК	2	29 852,92
Дуговая сварка.	27.01.2017 23:59:59	PУТЕКТОР	Дилер	2	21 673,68
Дуговая сварка.	27.01.2017 23:59:59	PУТЕКТОР	КПК	1	538 640,66
Дуговая сварка.	27.01.2017 23:59:59	PУТЕКТОР	Розница	1	893 103,70
ЗЧ и РМ	27.01.2017 23:59:59	PУТЕКТОР	Дилер	9	138 691,98
ЗЧ и РМ	27.01.2017 23:59:59	PУТЕКТОР	Розница	24	621 179,83
Компрессорное	27.01.2017 23:59:59	PУТЕКТОР	Дилер	3	431 675,21
Компрессорное	27.01.2017 23:59:59	PУТЕКТОР	Розница	11	1 746 360,14
Металлообработка	27.01.2017 23:59:59	PУТЕКТОР	Розница	1	62 232,11
Насосное	27.01.2017 23:59:59	PУТЕКТОР	Дилер	4	356 387,65
Насосное	27.01.2017 23:59:59	PУТЕКТОР	Розница	4	168 544,80
Подготовка поверхности	27.01.2017 23:59:59	PУТЕКТОР	Дилер	1	320 250,00
Подготовка поверхности	27.01.2017 23:59:59	PУТЕКТОР	Розница	4	131 860,36
Сварочное	27.01.2017 23:59:59	PУТЕКТОР	КПК	3	8 681 000,00
Сварочное	27.01.2017 23:59:59	PУТЕКТОР	Розница	2	9 685,91
Химическое	27.01.2017 23:59:59	PУТЕКТОР	Дилер	3	376 408,20
Химическое	27.01.2017 23:59:59	PУТЕКТОР	Розница	4	649 491,26
Дуговая сварка.	30.01.2017 23:59:59	PУТЕКТОР	Дилер	1	20 975,79
Дуговая сварка.	30.01.2017 23:59:59	PУТЕКТОР	Розница	1	116 624,82
ЗЧ и РМ	30.01.2017 23:59:59	PУТЕКТОР	Дилер	12	227 302,46
ЗЧ и РМ	30.01.2017 23:59:59	PУТЕКТОР	КПК	2	57 810,45
ЗЧ и РМ	30.01.2017 23:59:59	PУТЕКТОР	Розница	26	618 123,22
Компрессорное	30.01.2017 23:59:59	PУТЕКТОР	Дилер	4	127 180,00
Компрессорное	30.01.2017 23:59:59	PУТЕКТОР	Розница	4	309 605,79
Насосное	30.01.2017 23:59:59	PУТЕКТОР	Дилер	11	610 669,63
Насосное	30.01.2017 23:59:59	PУТЕКТОР	Розница	8	459 003,61
Подготовка поверхности	30.01.2017 23:59:59	PУТЕКТОР	Дилер	2	2 258 037,38
Подготовка поверхности	30.01.2017 23:59:59	PУТЕКТОР	Розница	1	1 689,00
Сварочное	30.01.2017 23:59:59	PУТЕКТОР	КПК	1	991 429,55
Сварочное	30.01.2017 23:59:59	PУТЕКТОР	Розница	9	6 183 960,79
Химическое	30.01.2017 23:59:59	PУТЕКТОР	Дилер	1	27 667,45
Химическое	30.01.2017 23:59:59	PУТЕКТОР	Розница	5	364 370,99
ЗЧ и РМ	30.01.2017 23:59:59	Рутектор	Розница	1	2 553 069,00
Сварочное	30.01.2017 23:59:59	Рутектор	Розница	1	377,00
Дуговая сварка.	31.01.2017 23:59:59	PУТЕКТОР	Розница	2	46 637,72
ЗЧ и РМ	31.01.2017 23:59:59	PУТЕКТОР	Дилер	13	214 069,63
ЗЧ и РМ	31.01.2017 23:59:59	PУТЕКТОР	КПК	1	30 915,48
ЗЧ и РМ	31.01.2017 23:59:59	PУТЕКТОР	Розница	30	854 619,65
Компрессорное	31.01.2017 23:59:59	PУТЕКТОР	Дилер	5	633 640,00
Компрессорное	31.01.2017 23:59:59	PУТЕКТОР	Розница	12	1 635 324,67
Насосное	31.01.2017 23:59:59	PУТЕКТОР	Дилер	7	1 053 717,84
Насосное	31.01.2017 23:59:59	PУТЕКТОР	Розница	12	2 335 851,20
НГО	31.01.2017 23:59:59	PУТЕКТОР	КПК	1	48 486,20
Подготовка поверхности	31.01.2017 23:59:59	PУТЕКТОР	Дилер	3	100 750,00
Подготовка поверхности	31.01.2017 23:59:59	PУТЕКТОР	Розница	4	50 372,28
Сварочное	31.01.2017 23:59:59	PУТЕКТОР	Дилер	1	1 008 477,66
Сварочное	31.01.2017 23:59:59	PУТЕКТОР	КПК	1	4 670 000,00
Сварочное	31.01.2017 23:59:59	PУТЕКТОР	Розница	4	673 757,12
Химическое	31.01.2017 23:59:59	PУТЕКТОР	Розница	4	614 351,29
ЗЧ и РМ	31.01.2017 23:59:59	Рутектор	Розница	1	105 082,00
Автосервис	01.02.2017 23:59:59	PУТЕКТОР	Дилер	1	913 000,00
Дуговая сварка.	01.02.2017 23:59:59	PУТЕКТОР	Дилер	1	1 439,98
Дуговая сварка.	01.02.2017 23:59:59	PУТЕКТОР	Розница	1	1 818,05
ЗЧ и РМ	01.02.2017 23:59:59	PУТЕКТОР	Дилер	14	145 059,24
ЗЧ и РМ	01.02.2017 23:59:59	PУТЕКТОР	КПК	1	411 032,00
ЗЧ и РМ	01.02.2017 23:59:59	PУТЕКТОР	Розница	24	228 405,88
Компрессорное	01.02.2017 23:59:59	PУТЕКТОР	Дилер	9	613 860,00
Компрессорное	01.02.2017 23:59:59	PУТЕКТОР	Розница	10	1 317 481,51
Насосное	01.02.2017 23:59:59	PУТЕКТОР	Дилер	12	562 468,04
Насосное	01.02.2017 23:59:59	PУТЕКТОР	Розница	3	108 649,29
Подготовка поверхности	01.02.2017 23:59:59	PУТЕКТОР	Дилер	4	50 468,80
Подготовка поверхности	01.02.2017 23:59:59	PУТЕКТОР	КПК	1	1 600 000,00
Подготовка поверхности	01.02.2017 23:59:59	PУТЕКТОР	Розница	6	896 736,04
Сварочное	01.02.2017 23:59:59	PУТЕКТОР	Дилер	7	285 708,06
Сварочное	01.02.2017 23:59:59	PУТЕКТОР	Розница	4	803 857,18
Химическое	01.02.2017 23:59:59	PУТЕКТОР	Дилер	1	210 083,38
Химическое	01.02.2017 23:59:59	PУТЕКТОР	Розница	1	30 331,59
ЗЧ и РМ	01.02.2017 23:59:59	Рутектор	Розница	6	842 879,85
Дуговая сварка.	02.02.2017 23:59:59	PУТЕКТОР	Розница	3	46 891,87
ЗЧ и РМ	02.02.2017 23:59:59	PУТЕКТОР	Дилер	21	362 689,18
ЗЧ и РМ	02.02.2017 23:59:59	PУТЕКТОР	КПК	2	1 372 570,17
ЗЧ и РМ	02.02.2017 23:59:59	PУТЕКТОР	Розница	29	446 643,71
Компрессорное	02.02.2017 23:59:59	PУТЕКТОР	Дилер	3	284 044,48
Компрессорное	02.02.2017 23:59:59	PУТЕКТОР	Розница	5	400 740,25
Насосное	02.02.2017 23:59:59	PУТЕКТОР	Дилер	7	228 290,15
Насосное	02.02.2017 23:59:59	PУТЕКТОР	Розница	6	485 386,16
НГО	02.02.2017 23:59:59	PУТЕКТОР	КПК	1	304 101,76
Подготовка поверхности	02.02.2017 23:59:59	PУТЕКТОР	Дилер	2	18 250,00
Подготовка поверхности	02.02.2017 23:59:59	PУТЕКТОР	Розница	4	187 676,47
Сварочное	02.02.2017 23:59:59	PУТЕКТОР	Дилер	1	1 671,33
Сварочное	02.02.2017 23:59:59	PУТЕКТОР	КПК	1	91 402,00
Сварочное	02.02.2017 23:59:59	PУТЕКТОР	Розница	4	1 969 071,16
Химическое	02.02.2017 23:59:59	PУТЕКТОР	Дилер	1	550 172,41
Химическое	02.02.2017 23:59:59	PУТЕКТОР	Розница	2	239 678,77
Дуговая сварка.	03.02.2017 23:59:59	PУТЕКТОР	Дилер	1	80 168,32
Дуговая сварка.	03.02.2017 23:59:59	PУТЕКТОР	КПК	3	338 592,50
Дуговая сварка.	03.02.2017 23:59:59	PУТЕКТОР	Розница	1	16 695,33
ЗЧ и РМ	03.02.2017 23:59:59	PУТЕКТОР	Дилер	15	745 776,85
ЗЧ и РМ	03.02.2017 23:59:59	PУТЕКТОР	КПК	2	24 158,25
ЗЧ и РМ	03.02.2017 23:59:59	PУТЕКТОР	Розница	23	682 760,79
Компрессорное	03.02.2017 23:59:59	PУТЕКТОР	Дилер	5	408 850,40
Компрессорное	03.02.2017 23:59:59	PУТЕКТОР	Розница	5	966 318,32
Насосное	03.02.2017 23:59:59	PУТЕКТОР	Дилер	7	216 183,40
Насосное	03.02.2017 23:59:59	PУТЕКТОР	КПК	3	1 060 231,38
Насосное	03.02.2017 23:59:59	PУТЕКТОР	Розница	10	535 768,26
НГО	03.02.2017 23:59:59	PУТЕКТОР	КПК	1	97 680,88
Подготовка поверхности	03.02.2017 23:59:59	PУТЕКТОР	Дилер	3	45 920,00
Подготовка поверхности	03.02.2017 23:59:59	PУТЕКТОР	Розница	5	599 048,66
Сварочное	03.02.2017 23:59:59	PУТЕКТОР	Дилер	4	6 121 617,99
Сварочное	03.02.2017 23:59:59	PУТЕКТОР	КПК	2	3 077 488,98
Сварочное	03.02.2017 23:59:59	PУТЕКТОР	Розница	2	27 060,68
Химическое	03.02.2017 23:59:59	PУТЕКТОР	Розница	4	274 247,67
Дуговая сварка.	06.02.2017 23:59:59	PУТЕКТОР	Дилер	1	80 690,36
Дуговая сварка.	06.02.2017 23:59:59	PУТЕКТОР	Розница	2	3 207,50
ЗЧ и РМ	06.02.2017 23:59:59	PУТЕКТОР	Дилер	19	326 144,23
ЗЧ и РМ	06.02.2017 23:59:59	PУТЕКТОР	КПК	2	310 243,88
ЗЧ и РМ	06.02.2017 23:59:59	PУТЕКТОР	Розница	29	812 121,55
Компрессорное	06.02.2017 23:59:59	PУТЕКТОР	Дилер	3	288 398,29
Компрессорное	06.02.2017 23:59:59	PУТЕКТОР	Розница	5	748 688,16
Металлообработка	06.02.2017 23:59:59	PУТЕКТОР	Розница	1	20 000,00
Насосное	06.02.2017 23:59:59	PУТЕКТОР	Дилер	11	407 727,99
Насосное	06.02.2017 23:59:59	PУТЕКТОР	КПК	1	14 700,00
Насосное	06.02.2017 23:59:59	PУТЕКТОР	Розница	5	914 007,45
НГО	06.02.2017 23:59:59	PУТЕКТОР	КПК	1	162 969,14
Подготовка поверхности	06.02.2017 23:59:59	PУТЕКТОР	Розница	2	40 534,55
Сварочное	06.02.2017 23:59:59	PУТЕКТОР	Дилер	5	724 983,39
Сварочное	06.02.2017 23:59:59	PУТЕКТОР	КПК	1	130 260,40
Сварочное	06.02.2017 23:59:59	PУТЕКТОР	Розница	5	342 879,72
Химическое	06.02.2017 23:59:59	PУТЕКТОР	Дилер	2	193 233,64
Химическое	06.02.2017 23:59:59	PУТЕКТОР	Розница	4	230 815,42
Автосервис	07.02.2017 23:59:59	PУТЕКТОР	Розница	1	46 700,00
АТП	07.02.2017 23:59:59	PУТЕКТОР	Розница	1	2 509,21
Дуговая сварка.	07.02.2017 23:59:59	PУТЕКТОР	Дилер	2	193 149,32
Дуговая сварка.	07.02.2017 23:59:59	PУТЕКТОР	Розница	2	103 668,76
ЗЧ и РМ	07.02.2017 23:59:59	PУТЕКТОР	Дилер	21	434 872,87
ЗЧ и РМ	07.02.2017 23:59:59	PУТЕКТОР	Розница	23	297 644,70
Компрессорное	07.02.2017 23:59:59	PУТЕКТОР	Дилер	3	234 563,37
Компрессорное	07.02.2017 23:59:59	PУТЕКТОР	Розница	9	861 505,47
Насосное	07.02.2017 23:59:59	PУТЕКТОР	Дилер	11	419 799,34
Насосное	07.02.2017 23:59:59	PУТЕКТОР	Розница	4	190 400,80
НГО	07.02.2017 23:59:59	PУТЕКТОР	КПК	1	5 720 481,03
Подготовка поверхности	07.02.2017 23:59:59	PУТЕКТОР	Дилер	1	4 960,00
Подготовка поверхности	07.02.2017 23:59:59	PУТЕКТОР	Розница	4	139 419,96
Сварочное	07.02.2017 23:59:59	PУТЕКТОР	Дилер	1	390 307,79
Сварочное	07.02.2017 23:59:59	PУТЕКТОР	КПК	1	78 600,00
Сварочное	07.02.2017 23:59:59	PУТЕКТОР	Розница	15	3 794 027,36
Химическое	07.02.2017 23:59:59	PУТЕКТОР	Дилер	1	4 834,01
Химическое	07.02.2017 23:59:59	PУТЕКТОР	Розница	4	212 864,26
Дуговая сварка.	08.02.2017 23:59:59	PУТЕКТОР	Розница	1	59 707,74
ЗЧ и РМ	08.02.2017 23:59:59	PУТЕКТОР	Дилер	14	731 164,73
ЗЧ и РМ	08.02.2017 23:59:59	PУТЕКТОР	КПК	2	126 913,80
ЗЧ и РМ	08.02.2017 23:59:59	PУТЕКТОР	Розница	27	653 231,85
Компрессорное	08.02.2017 23:59:59	PУТЕКТОР	Дилер	3	433 904,83
Компрессорное	08.02.2017 23:59:59	PУТЕКТОР	Розница	8	451 751,48
Металлообработка	08.02.2017 23:59:59	PУТЕКТОР	Розница	1	7 588,34
Насосное	08.02.2017 23:59:59	PУТЕКТОР	Дилер	11	1 726 536,53
Насосное	08.02.2017 23:59:59	PУТЕКТОР	Розница	8	194 631,25
Подготовка поверхности	08.02.2017 23:59:59	PУТЕКТОР	Дилер	2	19 700,00
Подготовка поверхности	08.02.2017 23:59:59	PУТЕКТОР	Розница	1	40 082,81
Сварочное	08.02.2017 23:59:59	PУТЕКТОР	Дилер	4	1 408 196,65
Сварочное	08.02.2017 23:59:59	PУТЕКТОР	Розница	5	400 781,99
Химическое	08.02.2017 23:59:59	PУТЕКТОР	Розница	2	221 062,37
ЗЧ и РМ	08.02.2017 23:59:59	Рутектор	КПК	1	74 390,59
Дуговая сварка.	09.02.2017 23:59:59	PУТЕКТОР	Дилер	1	81 651,70
Дуговая сварка.	09.02.2017 23:59:59	PУТЕКТОР	КПК	1	109 928,60
ЗЧ и РМ	09.02.2017 23:59:59	PУТЕКТОР	Дилер	12	471 269,19
ЗЧ и РМ	09.02.2017 23:59:59	PУТЕКТОР	КПК	1	277 129,81
ЗЧ и РМ	09.02.2017 23:59:59	PУТЕКТОР	Розница	36	590 019,26
Компрессорное	09.02.2017 23:59:59	PУТЕКТОР	Дилер	1	135 300,00
Компрессорное	09.02.2017 23:59:59	PУТЕКТОР	Розница	12	1 336 233,93
Металлообработка	09.02.2017 23:59:59	PУТЕКТОР	Розница	2	22 523,58
Насосное	09.02.2017 23:59:59	PУТЕКТОР	Дилер	9	277 877,51
Насосное	09.02.2017 23:59:59	PУТЕКТОР	Розница	12	829 140,78
Подготовка поверхности	09.02.2017 23:59:59	PУТЕКТОР	Дилер	1	4 740,00
Подготовка поверхности	09.02.2017 23:59:59	PУТЕКТОР	Розница	7	135 635,51
Сварочное	09.02.2017 23:59:59	PУТЕКТОР	Дилер	3	1 145 684,27
Сварочное	09.02.2017 23:59:59	PУТЕКТОР	Розница	6	5 642 521,82
Дуговая сварка.	10.02.2017 23:59:59	PУТЕКТОР	Дилер	1	44 506,58
Дуговая сварка.	10.02.2017 23:59:59	PУТЕКТОР	Розница	2	31 084,51
ЗЧ и РМ	10.02.2017 23:59:59	PУТЕКТОР	Дилер	6	71 902,36
ЗЧ и РМ	10.02.2017 23:59:59	PУТЕКТОР	Розница	19	762 315,60
Компрессорное	10.02.2017 23:59:59	PУТЕКТОР	Дилер	3	40 994,06
Компрессорное	10.02.2017 23:59:59	PУТЕКТОР	Розница	7	857 783,15
Насосное	10.02.2017 23:59:59	PУТЕКТОР	Дилер	7	132 251,70
Насосное	10.02.2017 23:59:59	PУТЕКТОР	Розница	13	3 149 497,30
НГО	10.02.2017 23:59:59	PУТЕКТОР	Дилер	1	361 577,96
Подготовка поверхности	10.02.2017 23:59:59	PУТЕКТОР	Розница	1	11 647,06
Сварочное	10.02.2017 23:59:59	PУТЕКТОР	Дилер	4	592 110,19
Сварочное	10.02.2017 23:59:59	PУТЕКТОР	КПК	1	10 000,00
Сварочное	10.02.2017 23:59:59	PУТЕКТОР	Розница	3	200 302,88
Химическое	10.02.2017 23:59:59	PУТЕКТОР	Дилер	1	88 512,73
Химическое	10.02.2017 23:59:59	PУТЕКТОР	КПК	1	36 278,77
Химическое	10.02.2017 23:59:59	PУТЕКТОР	Розница	5	516 235,82
АТП	13.02.2017 23:59:59	PУТЕКТОР	Розница	2	45 651,59
Дуговая сварка.	13.02.2017 23:59:59	PУТЕКТОР	Дилер	1	5 790,42
Дуговая сварка.	13.02.2017 23:59:59	PУТЕКТОР	Розница	1	55 550,34
ЗЧ и РМ	13.02.2017 23:59:59	PУТЕКТОР	Дилер	4	64 547,14
ЗЧ и РМ	13.02.2017 23:59:59	PУТЕКТОР	Розница	15	224 322,86
Компрессорное	13.02.2017 23:59:59	PУТЕКТОР	Дилер	2	123 020,00
Компрессорное	13.02.2017 23:59:59	PУТЕКТОР	Розница	2	109 607,67
Металлообработка	13.02.2017 23:59:59	PУТЕКТОР	Розница	1	53 280,04
Насосное	13.02.2017 23:59:59	PУТЕКТОР	Дилер	9	378 630,18
Насосное	13.02.2017 23:59:59	PУТЕКТОР	Розница	8	302 794,27
Подготовка поверхности	13.02.2017 23:59:59	PУТЕКТОР	Дилер	1	4 740,00
Подготовка поверхности	13.02.2017 23:59:59	PУТЕКТОР	Розница	1	72 178,16
