
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности; Сварочное;..."
	
Направление	Заказ.Дата.Конец дня	Организация	Канал сбыта	Количество заказов	Сумма Руб.
Дуговая сварка.	13.04.2016 23:59:59	PУТЕКТОР	КПК	1	369 499,21
Дуговая сварка.	13.04.2016 23:59:59	PУТЕКТОР	Розница	2	313 549,60
ЗЧ и РМ	13.04.2016 23:59:59	PУТЕКТОР	Дилер	5	50 914,64
ЗЧ и РМ	13.04.2016 23:59:59	PУТЕКТОР	Розница	20	781 344,73
Компрессорное	13.04.2016 23:59:59	PУТЕКТОР	Дилер	14	1 797 714,08
Компрессорное	13.04.2016 23:59:59	PУТЕКТОР	Розница	5	274 695,74
Насосное	13.04.2016 23:59:59	PУТЕКТОР	Дилер	16	3 139 222,33
Насосное	13.04.2016 23:59:59	PУТЕКТОР	Розница	12	3 073 708,32
Подготовка поверхности	13.04.2016 23:59:59	PУТЕКТОР	Дилер	1	15 659,78
Подготовка поверхности	13.04.2016 23:59:59	PУТЕКТОР	Розница	1	248 797,10
Сварочное	13.04.2016 23:59:59	PУТЕКТОР	Дилер	8	371 391,61
Сварочное	13.04.2016 23:59:59	PУТЕКТОР	Розница	7	2 547 560,99
Химическое	13.04.2016 23:59:59	PУТЕКТОР	Розница	5	641 476,91
ЗЧ и РМ	13.04.2016 23:59:59	Рутектор	Дилер	2	73 584,54
Химическое	13.04.2016 23:59:59	Рутектор	Дилер	1	236 296,95
Дуговая сварка.	14.04.2016 23:59:59	PУТЕКТОР	Розница	1	164 580,50
ЗЧ и РМ	14.04.2016 23:59:59	PУТЕКТОР	Дилер	7	31 539,72
ЗЧ и РМ	14.04.2016 23:59:59	PУТЕКТОР	Розница	19	365 886,49
Компрессорное	14.04.2016 23:59:59	PУТЕКТОР	Дилер	7	1 058 471,20
Компрессорное	14.04.2016 23:59:59	PУТЕКТОР	Розница	7	1 739 288,48
Насосное	14.04.2016 23:59:59	PУТЕКТОР	Дилер	9	857 685,12
Насосное	14.04.2016 23:59:59	PУТЕКТОР	Розница	7	201 159,78
Подготовка поверхности	14.04.2016 23:59:59	PУТЕКТОР	Розница	7	208 365,73
Сварочное	14.04.2016 23:59:59	PУТЕКТОР	Дилер	1	4 999,66
Сварочное	14.04.2016 23:59:59	PУТЕКТОР	КПК	1	65 474,89
Сварочное	14.04.2016 23:59:59	PУТЕКТОР	Розница	3	505 015,13
Строительное	14.04.2016 23:59:59	PУТЕКТОР	Розница	1	2 804,86
Химическое	14.04.2016 23:59:59	PУТЕКТОР	Розница	1	116 388,52
ЗЧ и РМ	14.04.2016 23:59:59	Рутектор	Розница	3	67 758,02
Насосное	14.04.2016 23:59:59	Рутектор	Розница	1	1 086 226,20
Подготовка поверхности	14.04.2016 23:59:59	Рутектор	Розница	1	175 489,13
Сварочное	14.04.2016 23:59:59	Рутектор	Розница	1	6 195,23
Дуговая сварка.	15.04.2016 23:59:59	PУТЕКТОР	Розница	1	210 323,64
ЗЧ и РМ	15.04.2016 23:59:59	PУТЕКТОР	Дилер	7	194 710,49
ЗЧ и РМ	15.04.2016 23:59:59	PУТЕКТОР	Розница	22	1 271 007,79
Компрессорное	15.04.2016 23:59:59	PУТЕКТОР	Дилер	7	224 419,95
Компрессорное	15.04.2016 23:59:59	PУТЕКТОР	Розница	6	304 098,71
Насосное	15.04.2016 23:59:59	PУТЕКТОР	Дилер	14	2 279 123,52
Насосное	15.04.2016 23:59:59	PУТЕКТОР	Розница	7	355 736,12
Подготовка поверхности	15.04.2016 23:59:59	PУТЕКТОР	Дилер	1	32 320,00
Подготовка поверхности	15.04.2016 23:59:59	PУТЕКТОР	Розница	1	7 329,75
Сварочное	15.04.2016 23:59:59	PУТЕКТОР	Дилер	2	218 323,69
Сварочное	15.04.2016 23:59:59	PУТЕКТОР	Розница	6	1 711 394,90
Химическое	15.04.2016 23:59:59	PУТЕКТОР	Розница	2	154 653,05
Насосное	15.04.2016 23:59:59	Рутектор	Дилер	1	133 133,32
Строительное	15.04.2016 23:59:59	Рутектор	Розница	1	263 446,91
Дуговая сварка.	18.04.2016 23:59:59	PУТЕКТОР	Дилер	2	8 307,82
Дуговая сварка.	18.04.2016 23:59:59	PУТЕКТОР	Розница	2	368 832,69
ЗЧ и РМ	18.04.2016 23:59:59	PУТЕКТОР	Дилер	10	199 548,87
ЗЧ и РМ	18.04.2016 23:59:59	PУТЕКТОР	Розница	19	253 575,95
Компрессорное	18.04.2016 23:59:59	PУТЕКТОР	Дилер	1	48 600,00
Компрессорное	18.04.2016 23:59:59	PУТЕКТОР	Розница	6	1 206 614,72
Насосное	18.04.2016 23:59:59	PУТЕКТОР	Дилер	14	6 961 161,53
Насосное	18.04.2016 23:59:59	PУТЕКТОР	Розница	11	1 340 416,83
Подготовка поверхности	18.04.2016 23:59:59	PУТЕКТОР	Дилер	2	18 923,31
Подготовка поверхности	18.04.2016 23:59:59	PУТЕКТОР	Розница	5	519 356,00
Сварочное	18.04.2016 23:59:59	PУТЕКТОР	Дилер	4	131 924,65
Сварочное	18.04.2016 23:59:59	PУТЕКТОР	Розница	4	735 174,29
Химическое	18.04.2016 23:59:59	PУТЕКТОР	Розница	2	67 927,56
Дуговая сварка.	18.04.2016 23:59:59	Рутектор	КПК	1	1 318 003,36
ЗЧ и РМ	18.04.2016 23:59:59	Рутектор	Розница	2	35 430,00
Насосное	18.04.2016 23:59:59	Рутектор	КПК	1	254 170,76
Сварочное	18.04.2016 23:59:59	Рутектор	Розница	1	85 176,00
Автосервис	19.04.2016 23:59:59	PУТЕКТОР	Розница	2	8 799,00
