Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
08.09.2017	4 485 385	131 926	1	9 850		
02.06.2017	4 679 728	35 147	1	17 850		
05.06.2017	4 679 728	35 147			1	17 850
29.05.2017	5 386 278	35 147	1	17 850		
14.03.2017	3 418 475	117 490	1	7 100		
09.02.2017	1 128 362	124 316	1	5 645		
10.05.2017	4 019 991	124 323			1	14 785
20.09.2017	5 502 797	124 323	1	14 735		
05.05.2017	4 019 991	124 323	1	14 785		
21.09.2017	5 502 797	124 323			1	14 735
15.05.2017	5 638 809	124 398			1	3 150
15.05.2017	5 638 809	124 398	1	3 150		
16.05.2017	755 082	124 398	1	3 150		
03.08.2017	2 567 306	124 398	1	2 890		
13.04.2017	1 128 678	131 451	1	1 665		
07.06.2017	416 579	131 451	1	1 995		
07.04.2017	2 059 398	131 451			1	1 665
06.04.2017	2 059 398	131 451	1	1 665		
23.01.2017	1 295 757	131 451	1	1 665		
06.04.2017	2 059 398	131 451	1	1 665		
03.03.2017	2 838 841	131 459	1	1 490		
19.01.2017	5 765 151	131 459	1	1 490		
03.03.2017	4 460 005	131 468	1	1 490		
28.04.2017	412 604	131 468	1	1 785		
01.09.2017	1 245 736	131 469	1	2 455		
11.08.2017	2 946 599	131 469	1	2 700		
14.08.2017	2 946 599	131 469			1	2 700
28.04.2017	412 604	131 481	1	5 460		
27.04.2017	4 319 308	131 481	1	5 460		
28.07.2017	4 601 594	131 481	1	4 620		
20.01.2017	4 934 059	131 557	1	1 575		
10.04.2017	3 453 867	131 660	1	9 645		
28.06.2017	4 734 735	111 234	1	4 695		
09.02.2017	1 213 227	118 274	1	10 370		
16.01.2017	4 687 147	132 372	1	2 180		
05.04.2017	396 852	132 606			1	1 490
04.04.2017	396 852	132 606	1	1 490		
11.07.2017	748 978	139 431			1	8 905
07.07.2017	748 978	139 431	1	8 905		
09.06.2017	5 970 900	66 515	1	8 115		
06.03.2017	550 310	96 503	1	4 900		
07.03.2017	550 310	96 503			1	4 900
14.04.2017	4 946 642	110 933	1	9 800		
21.04.2017	334 004	110 933	1	11 570		
02.05.2017	4 852 788	117 930	1	6 970		
17.01.2017	5 825 855	117 947			1	12 315
16.01.2017	5 825 855	117 947	1	12 315		
13.07.2017	3 034 060	117 975	1	18 960		
14.07.2017	1 154 633	132 135	1	4 815		
23.01.2017	248 426	117 458	1	4 175		
28.02.2017	2 476 400	117 458	1	4 175		
23.03.2017	5 051 874	117 458	1	4 175		
27.06.2017	3 530 593	117 458	1	4 595		
24.01.2017	248 426	117 458			1	4 175
26.06.2017	3 704 964	117 458	1	4 595		
17.02.2017	1 143 233	117 479	1	2 260		
30.01.2017	574 607	117 479	1	2 260		
04.08.2017	4 628 416	124 274	1	3 475		
10.03.2017	3 913 919	124 299	1	4 940		
14.07.2017	3 179 786	124 299			1	4 840
14.07.2017	3 179 786	124 299	1	4 840		
31.01.2017	2 345 925	124 299	1	5 015		
13.03.2017	3 913 919	124 299			1	4 940
03.03.2017	1 318 991	124 299	1	4 865		
19.05.2017	3 702 390	124 495	1	16 630		
18.05.2017	1 707 179	131 657	1	12 805		
18.05.2017	1 707 179	131 657	1	13 685		
18.05.2017	1 707 179	131 657			1	13 685
19.06.2017	3 013 561	138 603	1	2 235		
06.04.2017	2 889 526	118 764			1	4 195
05.04.2017	2 889 526	118 764	1	4 195		
24.08.2017	2 666 258	132 995			1	5 490
23.08.2017	2 666 258	132 995	1	5 490		
06.07.2017	166 182	139 902	1	1 895		
21.06.2017	4 383 595	139 966	1	4 895		
07.04.2017	3 380 069	27 644	1	7 005		
10.04.2017	3 380 069	27 644			1	7 005
14.04.2017	4 197 810	27 645	1	4 750		
07.04.2017	1 313 011	27 645			1	4 985
11.04.2017	4 852 189	27 645	1	5 495		
30.03.2017	902 631	27 645	1	5 120		
10.07.2017	3 110 597	27 645	1	4 750		
