
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Подготовка поверхности	12.04.2016 23:59:59	Дилер	818 506,32	898 316,54	1
Подготовка поверхности	12.04.2016 23:59:59	Розница	277 480,88	277 480,88	4
Сварочное	12.04.2016 23:59:59	Дилер	1 184 929,08	1 331 104,43	2
Сварочное	12.04.2016 23:59:59	Розница	478 692,43	183 811,87	6
Строительное	12.04.2016 23:59:59	Розница	52 022,18	52 022,18	3
Химическое	12.04.2016 23:59:59	Розница	376 166,81	412 845,76	2
Автосервис	13.04.2016 23:59:59	Розница	44 696,04	44 696,04	1
Дуговая сварка.	13.04.2016 23:59:59	Дилер	151 688,56	151 688,56	1
Дуговая сварка.	13.04.2016 23:59:59	КПК	397 918,44	441 176,35	2
ЗЧ и РМ	13.04.2016 23:59:59	Дилер	120 929,94	130 679,10	6
ЗЧ и РМ	13.04.2016 23:59:59	Розница	422 644,56	423 580,78	21
Компрессорное	13.04.2016 23:59:59	Дилер	783 503,60	786 001,39	5
Компрессорное	13.04.2016 23:59:59	Розница	442 316,30	568 034,54	7
Металлообработка	13.04.2016 23:59:59	Розница	500 000,00	500 000,00	1
Насосное	13.04.2016 23:59:59	Дилер	451 031,41	470 205,66	9
Насосное	13.04.2016 23:59:59	Розница	170 563,10	170 563,10	3
Подготовка поверхности	13.04.2016 23:59:59	Дилер	15 659,78	15 659,78	1
Подготовка поверхности	13.04.2016 23:59:59	Розница	414 573,85	414 573,76	6
Сварочное	13.04.2016 23:59:59	Дилер	963 919,33	878 392,95	5
Сварочное	13.04.2016 23:59:59	Розница	17 050,00	35 050,00	2
Строительное	13.04.2016 23:59:59	Розница	193 999,08	193 999,08	1
Химическое	13.04.2016 23:59:59	Розница	438 504,01	441 161,54	2
Дуговая сварка.	14.04.2016 23:59:59	Розница	169 743,00	169 743,00	3
ЗЧ и РМ	14.04.2016 23:59:59	Дилер	64 694,34	95 288,52	8
ЗЧ и РМ	14.04.2016 23:59:59	Розница	392 157,87	404 180,70	13
Компрессорное	14.04.2016 23:59:59	Дилер	566 753,97	576 840,98	7
Компрессорное	14.04.2016 23:59:59	Розница	716 084,12	578 174,98	5
