
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Подготовка поверхности	02.02.2017 23:59:59	Розница	234 773,60	234 773,60	5
Строительное	02.02.2017 23:59:59	Дилер	68 800,00	68 800,00	1
Химическое	02.02.2017 23:59:59	Дилер	27 652,48	25 800,00	1
Химическое	02.02.2017 23:59:59	Розница	844 334,86	787 795,52	3
Дуговая сварка.	03.02.2017 23:59:59	Розница	26 250,70	26 250,70	2
ЗЧ и РМ	03.02.2017 23:59:59	Дилер	58 196,10	54 861,57	5
ЗЧ и РМ	03.02.2017 23:59:59	Розница	658 080,58	651 111,79	23
Компрессорное	03.02.2017 23:59:59	Дилер	240 500,00	240 500,00	2
Компрессорное	03.02.2017 23:59:59	Розница	482 924,00	482 923,86	6
Насосное	03.02.2017 23:59:59	Дилер	244 885,90	229 737,98	6
Насосное	03.02.2017 23:59:59	Розница	204 314,36	196 323,44	3
Подготовка поверхности	03.02.2017 23:59:59	Дилер	3 020,00	3 020,00	1
Подготовка поверхности	03.02.2017 23:59:59	Розница	279 393,32	279 393,32	6
Сварочное	03.02.2017 23:59:59	Дилер	132 799,52	121 130,56	4
Сварочное	03.02.2017 23:59:59	Розница	122 151,03	122 151,03	1
Химическое	03.02.2017 23:59:59	Дилер	115 231,50	107 026,73	2
Химическое	03.02.2017 23:59:59	Розница	28 203,69	28 203,69	1
ЗЧ и РМ	05.02.2017 23:59:59	Розница	7 530,00	7 530,00	1
Дуговая сварка.	06.02.2017 23:59:59	Дилер	88 130,14	80 690,36	1
Дуговая сварка.	06.02.2017 23:59:59	КПК	629,72	565,79	1
Дуговая сварка.	06.02.2017 23:59:59	Розница	64 365,05	64 473,02	3
ЗЧ и РМ	06.02.2017 23:59:59	Дилер	147 328,22	139 929,56	12
ЗЧ и РМ	06.02.2017 23:59:59	КПК	8 644,75	7 774,85	1
ЗЧ и РМ	06.02.2017 23:59:59	Розница	301 284,39	294 286,25	19
Компрессорное	06.02.2017 23:59:59	Дилер	638 258,98	623 024,96	7
Компрессорное	06.02.2017 23:59:59	Розница	1 668 875,35	1 667 826,60	6
Насосное	06.02.2017 23:59:59	Дилер	76 118,82	69 694,86	2
Насосное	06.02.2017 23:59:59	Розница	718 330,54	683 866,76	8
НГО	06.02.2017 23:59:59	КПК	2 914 880,39	2 914 880,39	1
Подготовка поверхности	06.02.2017 23:59:59	Розница	579 002,96	579 002,10	5
Сварочное	06.02.2017 23:59:59	Дилер	321 082,90	321 082,72	2
Сварочное	06.02.2017 23:59:59	КПК	1 104 079,80	993 054,76	1
Сварочное	06.02.2017 23:59:59	Розница	782 449,54	634 313,12	6
Строительное	06.02.2017 23:59:59	Дилер	41 540,00	41 540,00	6
Химическое	06.02.2017 23:59:59	Дилер	164 769,62	150 860,08	1
Химическое	06.02.2017 23:59:59	Розница	42 690,67	39 082,56	1
Дуговая сварка.	07.02.2017 23:59:59	Дилер	196 297,36	193 473,93	2
Дуговая сварка.	07.02.2017 23:59:59	КПК	164 250,02	159 802,42	1
Дуговая сварка.	07.02.2017 23:59:59	Розница	17 619,05	17 619,05	2
ЗЧ и РМ	07.02.2017 23:59:59	Дилер	573 213,03	534 723,68	13
ЗЧ и РМ	07.02.2017 23:59:59	КПК	29 200,00	29 199,92	1
ЗЧ и РМ	07.02.2017 23:59:59	Розница	807 868,02	797 988,40	19
Компрессорное	07.02.2017 23:59:59	Дилер	295 000,00	295 000,00	4
Компрессорное	07.02.2017 23:59:59	Розница	442 329,34	432 213,84	8
Металлообработка	07.02.2017 23:59:59	Розница	501 052,35	477 727,52	2
Насосное	07.02.2017 23:59:59	Дилер	1 053 386,65	957 642,96	23
Насосное	07.02.2017 23:59:59	Розница	92 288,45	87 211,09	3
НГО	07.02.2017 23:59:59	КПК	49 133,80	47 803,35	1
Подготовка поверхности	07.02.2017 23:59:59	Розница	105 991,11	105 991,10	4
Сварочное	07.02.2017 23:59:59	Дилер	6 774,79	6 139,15	1
Сварочное	07.02.2017 23:59:59	КПК	91 402,00	91 401,96	1
Сварочное	07.02.2017 23:59:59	Розница	178 391,06	193 046,27	5
Химическое	07.02.2017 23:59:59	Дилер	46 280,47	41 935,98	1
Химическое	07.02.2017 23:59:59	Розница	29 406,91	29 369,66	2
Дуговая сварка.	08.02.2017 23:59:59	Дилер	86 322,13	78 317,40	1
Дуговая сварка.	08.02.2017 23:59:59	Розница	86 949,71	86 949,71	1
ЗЧ и РМ	08.02.2017 23:59:59	Дилер	58 636,90	56 832,61	8
ЗЧ и РМ	08.02.2017 23:59:59	КПК	34 844,73	34 844,69	1
ЗЧ и РМ	08.02.2017 23:59:59	Розница	502 039,93	502 039,77	20
Компрессорное	08.02.2017 23:59:59	Дилер	349 406,92	319 135,00	3
Компрессорное	08.02.2017 23:59:59	Розница	442 762,50	442 762,50	4
Металлообработка	08.02.2017 23:59:59	Розница	59 244,58	53 750,77	1
Насосное	08.02.2017 23:59:59	Дилер	1 485 434,61	1 356 164,48	9
Насосное	08.02.2017 23:59:59	КПК	142 937,00	142 936,87	1
Насосное	08.02.2017 23:59:59	Розница	494 444,56	493 283,75	4
Подготовка поверхности	08.02.2017 23:59:59	Розница	113 527,41	113 527,38	5
Сварочное	08.02.2017 23:59:59	Дилер	112 076,80	101 683,81	1
Сварочное	08.02.2017 23:59:59	КПК	848 600,00	848 600,00	2
Сварочное	08.02.2017 23:59:59	Розница	174 406,05	174 406,05	1
Строительное	08.02.2017 23:59:59	Розница	1 013 879,41	993 010,58	1
Химическое	08.02.2017 23:59:59	Розница	277 147,94	250 799,20	2
ЗЧ и РМ	09.02.2017 23:59:59	Дилер	104 720,04	97 663,69	7
ЗЧ и РМ	09.02.2017 23:59:59	КПК	43 036,77	8 606,40	1
ЗЧ и РМ	09.02.2017 23:59:59	Розница	134 518,33	134 518,33	16
Компрессорное	09.02.2017 23:59:59	Дилер	69 700,00	69 700,00	1
Компрессорное	09.02.2017 23:59:59	Розница	515 154,80	515 154,80	14
Металлообработка	09.02.2017 23:59:59	Розница	8 363,94	7 614,00	1
Насосное	09.02.2017 23:59:59	Дилер	103 573,46	94 281,80	2
Насосное	09.02.2017 23:59:59	КПК	14 700,00	14 700,00	1
Насосное	09.02.2017 23:59:59	Розница	93 674,83	92 063,98	4
Подготовка поверхности	09.02.2017 23:59:59	Дилер	14 940,00	14 940,00	1
Подготовка поверхности	09.02.2017 23:59:59	Розница	249 499,44	249 499,44	2
Сварочное	09.02.2017 23:59:59	КПК	5 456 889,43	1 091 392,50	1
Сварочное	09.02.2017 23:59:59	Розница	66 892,38	66 892,38	6
Химическое	09.02.2017 23:59:59	Дилер	5 334,80	4 856,04	1
Химическое	09.02.2017 23:59:59	Розница	35 183,28	35 183,28	1
Автосервис	10.02.2017 23:59:59	Розница	9 000,00	9 000,00	1
Дуговая сварка.	10.02.2017 23:59:59	КПК	10 921,00	10 921,00	1
Дуговая сварка.	10.02.2017 23:59:59	Розница	59 707,74	59 707,74	1
ЗЧ и РМ	10.02.2017 23:59:59	Дилер	95 048,69	80 728,88	8
ЗЧ и РМ	10.02.2017 23:59:59	КПК	276 540,27	276 540,27	3
ЗЧ и РМ	10.02.2017 23:59:59	Розница	424 114,54	444 282,70	22
Компрессорное	10.02.2017 23:59:59	Дилер	211 280,00	211 280,00	3
Компрессорное	10.02.2017 23:59:59	Розница	219 245,98	219 245,98	6
Металлообработка	10.02.2017 23:59:59	Розница	1 362 128,55	1 257 354,74	1
Насосное	10.02.2017 23:59:59	Дилер	802 598,28	761 632,48	13
Насосное	10.02.2017 23:59:59	КПК	295 789,75	295 789,75	1
Насосное	10.02.2017 23:59:59	Розница	106 747,39	106 747,39	5
НГО	10.02.2017 23:59:59	КПК	2 992 867,97	2 986 588,51	1
Подготовка поверхности	10.02.2017 23:59:59	Дилер	9 500,00	9 500,00	2
Подготовка поверхности	10.02.2017 23:59:59	Розница	20 981,68	20 981,68	2
Сварочное	10.02.2017 23:59:59	Дилер	2 222 857,84	2 197 973,49	4
Сварочное	10.02.2017 23:59:59	КПК	10 000,00	10 000,00	1
Сварочное	10.02.2017 23:59:59	Розница	34 403,51	34 403,51	2
Строительное	10.02.2017 23:59:59	КПК	124 500,00	124 500,00	1
Химическое	10.02.2017 23:59:59	Дилер	69 493,57	61 958,91	2
Химическое	10.02.2017 23:59:59	Розница	321 493,39	289 632,13	4
Дуговая сварка.	13.02.2017 23:59:59	Дилер	53 687,04	50 264,71	3
Дуговая сварка.	13.02.2017 23:59:59	Розница	259 522,06	233 268,44	2
ЗЧ и РМ	13.02.2017 23:59:59	Дилер	166 192,21	159 030,09	10
ЗЧ и РМ	13.02.2017 23:59:59	Розница	182 398,97	181 974,44	17
Компрессорное	13.02.2017 23:59:59	Дилер	622 800,00	622 800,00	2
Компрессорное	13.02.2017 23:59:59	Розница	628 444,72	628 444,72	7
Металлообработка	13.02.2017 23:59:59	Розница	24 743,32	22 252,25	2
Насосное	13.02.2017 23:59:59	Дилер	489 681,30	441 810,50	8
Насосное	13.02.2017 23:59:59	Розница	98 057,65	97 907,63	4
Подготовка поверхности	13.02.2017 23:59:59	Дилер	10 468,80	10 468,80	2
Подготовка поверхности	13.02.2017 23:59:59	Розница	6 800,00	6 800,00	1
Сварочное	13.02.2017 23:59:59	Дилер	24 257 570,57	182 717,99	5
Сварочное	13.02.2017 23:59:59	Розница	995 880,13	995 880,13	3
Химическое	13.02.2017 23:59:59	Розница	51 094,94	49 027,67	1
Дуговая сварка.	14.02.2017 23:59:59	Дилер	85 679,21	84 189,63	2
Дуговая сварка.	14.02.2017 23:59:59	Розница	260 428,61	259 403,71	2
ЗЧ и РМ	14.02.2017 23:59:59	Дилер	164 730,19	169 447,03	12
ЗЧ и РМ	14.02.2017 23:59:59	КПК	188 463,77	201 075,77	2
ЗЧ и РМ	14.02.2017 23:59:59	Розница	379 217,75	379 217,75	20
Компрессорное	14.02.2017 23:59:59	Дилер	10 460,00	10 460,00	1
Компрессорное	14.02.2017 23:59:59	Розница	389 155,17	389 155,17	4
Металлообработка	14.02.2017 23:59:59	Розница	59 244,58	52 501,27	1
Насосное	14.02.2017 23:59:59	Дилер	1 086 288,19	976 986,18	15
Насосное	14.02.2017 23:59:59	Розница	548 044,50	501 587,39	5
Подготовка поверхности	14.02.2017 23:59:59	Розница	57 790,28	57 790,28	2
Сварочное	14.02.2017 23:59:59	Дилер	2 451 260,72	2 286 981,49	6
Сварочное	14.02.2017 23:59:59	Розница	233 265,64	233 265,64	3
Химическое	14.02.2017 23:59:59	Дилер	227 777,97	201 851,94	1
АТП	15.02.2017 23:59:59	Розница	24 813,02	21 821,20	1
Дуговая сварка.	15.02.2017 23:59:59	Розница	21 102,92	21 102,92	3
ЗЧ и РМ	15.02.2017 23:59:59	Дилер	38 527,80	34 919,60	3
ЗЧ и РМ	15.02.2017 23:59:59	Розница	302 972,93	302 972,93	25
Компрессорное	15.02.2017 23:59:59	Дилер	342 590,49	333 934,37	4
Компрессорное	15.02.2017 23:59:59	Розница	824 694,98	824 694,98	6
Насосное	15.02.2017 23:59:59	Дилер	328 965,34	301 351,74	10
Насосное	15.02.2017 23:59:59	Розница	983 268,84	904 268,84	8
НГО	15.02.2017 23:59:59	КПК	6 366 916,69	5 850 572,81	2
Подготовка поверхности	15.02.2017 23:59:59	Дилер	30 833,90	30 833,90	1
Подготовка поверхности	15.02.2017 23:59:59	Розница	86 642,29	86 642,29	2
Сварочное	15.02.2017 23:59:59	Дилер	47 137,77	41 454,14	2
Сварочное	15.02.2017 23:59:59	Розница	7 729,43	6 871,38	2
Химическое	15.02.2017 23:59:59	Дилер	128 614,74	116 909,52	1
Химическое	15.02.2017 23:59:59	Розница	62 335,75	54 819,63	1
Автосервис	16.02.2017 23:59:59	Розница	33 600,00	33 600,00	1
АТП	16.02.2017 23:59:59	Розница	253 183,43	240 181,02	5
Дуговая сварка.	16.02.2017 23:59:59	Дилер	16 755,76	14 429,99	1
Дуговая сварка.	16.02.2017 23:59:59	Розница	302 290,71	289 155,90	4
ЗЧ и РМ	16.02.2017 23:59:59	Дилер	616 154,11	553 012,12	17
ЗЧ и РМ	16.02.2017 23:59:59	КПК	3 000,00	2 999,89	1
ЗЧ и РМ	16.02.2017 23:59:59	Розница	254 947,84	254 605,19	20
Компрессорное	16.02.2017 23:59:59	Дилер	560 072,51	506 017,88	8
Компрессорное	16.02.2017 23:59:59	Розница	222 281,70	222 281,70	5
Насосное	16.02.2017 23:59:59	Дилер	2 938 298,58	2 539 584,56	20
Насосное	16.02.2017 23:59:59	КПК	182 970,80	182 970,72	1
Насосное	16.02.2017 23:59:59	Розница	2 078 652,01	2 078 651,94	5
Подготовка поверхности	16.02.2017 23:59:59	Розница	8 000,00	8 000,00	1
Сварочное	16.02.2017 23:59:59	Дилер	934 602,39	525 596,05	7
Сварочное	16.02.2017 23:59:59	Розница	120 403,04	120 402,99	3
Химическое	16.02.2017 23:59:59	Дилер	192 960,00	192 960,00	1
Химическое	16.02.2017 23:59:59	Розница	642 518,18	560 079,00	8
Дуговая сварка.	17.02.2017 23:59:59	Розница	168 229,75	168 229,75	1
ЗЧ и РМ	17.02.2017 23:59:59	Дилер	93 853,21	90 020,19	11
ЗЧ и РМ	17.02.2017 23:59:59	КПК	107 236,71	106 183,01	1
ЗЧ и РМ	17.02.2017 23:59:59	Розница	312 445,92	312 445,92	13
Компрессорное	17.02.2017 23:59:59	Дилер	184 541,38	175 737,46	3
Компрессорное	17.02.2017 23:59:59	Розница	711 257,49	711 257,49	13
Металлообработка	17.02.2017 23:59:59	Розница	15 500,00	15 500,00	1
Насосное	17.02.2017 23:59:59	Дилер	840 530,20	773 083,19	19
Насосное	17.02.2017 23:59:59	Розница	319 218,98	289 982,47	4
НГО	17.02.2017 23:59:59	Дилер	500 000,00	500 000,00	1
Подготовка поверхности	17.02.2017 23:59:59	Дилер	500 306,22	500 306,22	1
Подготовка поверхности	17.02.2017 23:59:59	Розница	109 203,55	109 203,55	2
Сварочное	17.02.2017 23:59:59	Дилер	386 274,63	336 144,48	4
Сварочное	17.02.2017 23:59:59	Розница	564 391,78	529 566,60	7
Химическое	17.02.2017 23:59:59	Розница	585 987,94	517 689,17	1
Дуговая сварка.	20.02.2017 23:59:59	Дилер	14 667,56	12 931,46	1
Дуговая сварка.	20.02.2017 23:59:59	Розница	936 905,70	936 905,70	2
ЗЧ и РМ	20.02.2017 23:59:59	Дилер	153 769,47	138 981,84	8
ЗЧ и РМ	20.02.2017 23:59:59	Розница	648 936,32	630 518,87	12
Компрессорное	20.02.2017 23:59:59	Дилер	683 660,32	634 563,63	7
Компрессорное	20.02.2017 23:59:59	Розница	6 475 168,28	5 728 408,30	9
Насосное	20.02.2017 23:59:59	Дилер	860 997,92	759 086,91	5
Насосное	20.02.2017 23:59:59	Розница	269 479,96	261 048,56	7
Подготовка поверхности	20.02.2017 23:59:59	Розница	37 224,00	37 224,00	3
Сварочное	20.02.2017 23:59:59	Дилер	65 343,28	57 609,00	2
Сварочное	20.02.2017 23:59:59	Розница	2 081 088,23	1 625 242,79	2
Химическое	20.02.2017 23:59:59	Дилер	54 992,91	48 483,73	1
Химическое	20.02.2017 23:59:59	Розница	214 567,83	209 119,76	2
АТП	21.02.2017 23:59:59	Розница	46 007,48	43 189,09	1
Дуговая сварка.	21.02.2017 23:59:59	Дилер	2 969,20	2 628,36	1
Дуговая сварка.	21.02.2017 23:59:59	Розница	18 922,85	18 922,85	2
ЗЧ и РМ	21.02.2017 23:59:59	Дилер	347 703,47	353 475,38	12
ЗЧ и РМ	21.02.2017 23:59:59	Розница	1 765 082,31	1 758 061,49	30
Компрессорное	21.02.2017 23:59:59	Дилер	52 200,00	52 200,00	1
Компрессорное	21.02.2017 23:59:59	Розница	900 867,32	900 867,32	4
Насосное	21.02.2017 23:59:59	Дилер	814 957,96	721 456,18	11
Насосное	21.02.2017 23:59:59	Розница	318 277,42	300 308,09	7
Подготовка поверхности	21.02.2017 23:59:59	Дилер	82 616,12	74 764,93	2
Подготовка поверхности	21.02.2017 23:59:59	Розница	266 290,99	266 290,99	3
Сварочное	21.02.2017 23:59:59	Дилер	4 809,27	4 257,21	1
Сварочное	21.02.2017 23:59:59	Розница	382 894,68	382 894,68	4
Дуговая сварка.	22.02.2017 23:59:59	Дилер	38 436,48	37 597,84	2
ЗЧ и РМ	22.02.2017 23:59:59	Дилер	194 881,13	232 375,24	10
ЗЧ и РМ	22.02.2017 23:59:59	КПК	200 633,60	200 631,78	4
ЗЧ и РМ	22.02.2017 23:59:59	Розница	423 069,28	423 069,17	14
Компрессорное	22.02.2017 23:59:59	Дилер	189 456,41	166 920,93	4
Компрессорное	22.02.2017 23:59:59	Розница	355 868,54	355 868,46	5
Насосное	22.02.2017 23:59:59	Дилер	256 982,06	225 677,57	11
Насосное	22.02.2017 23:59:59	Розница	814 757,79	814 757,79	6
Подготовка поверхности	22.02.2017 23:59:59	Дилер	7 542,99	7 164,31	2
Подготовка поверхности	22.02.2017 23:59:59	КПК	355 924,49	355 924,32	2
Подготовка поверхности	22.02.2017 23:59:59	Розница	28 471,68	28 471,68	3
Сварочное	22.02.2017 23:59:59	Дилер	485 603,03	435 686,72	7
Сварочное	22.02.2017 23:59:59	КПК	2 184 000,00	2 183 999,40	1
Сварочное	22.02.2017 23:59:59	Розница	269 410,58	269 410,58	2
Строительное	22.02.2017 23:59:59	КПК	455 000,00	455 000,00	1
Химическое	22.02.2017 23:59:59	Розница	578 198,62	508 310,14	2
Дуговая сварка.	27.02.2017 23:59:59	Дилер	4 391,07	3 808,57	1
Дуговая сварка.	27.02.2017 23:59:59	Розница	1 374 247,73	1 378 661,49	1
ЗЧ и РМ	27.02.2017 23:59:59	Дилер	246 811,05	219 120,14	10
ЗЧ и РМ	27.02.2017 23:59:59	КПК	47 275,61	42 187,47	1
ЗЧ и РМ	27.02.2017 23:59:59	Розница	402 429,70	400 779,37	16
Компрессорное	27.02.2017 23:59:59	Дилер	120 958,46	119 926,61	4
Компрессорное	27.02.2017 23:59:59	Розница	794 295,56	717 091,73	4
Насосное	27.02.2017 23:59:59	Дилер	1 026 849,67	922 522,39	27
Насосное	27.02.2017 23:59:59	Розница	108 028,95	107 818,83	4
НГО	27.02.2017 23:59:59	КПК	1,70	1,72	1
Подготовка поверхности	27.02.2017 23:59:59	Дилер	26 470,00	26 470,00	2
Подготовка поверхности	27.02.2017 23:59:59	Розница	100 030,53	100 030,53	6
Сварочное	27.02.2017 23:59:59	Дилер	1 080 374,43	1 007 739,87	6
Сварочное	27.02.2017 23:59:59	Розница	1 976 990,82	1 832 404,30	4
Строительное	27.02.2017 23:59:59	Дилер	31 720,00	4 960,00	3
Химическое	27.02.2017 23:59:59	Дилер	309 146,65	274 156,63	2
Химическое	27.02.2017 23:59:59	Розница	1 380 260,14	1 217 041,85	11
АТП	28.02.2017 23:59:59	Розница	58 560,13	51 466,82	1
Дуговая сварка.	28.02.2017 23:59:59	Розница	16 468,87	16 468,87	2
ЗЧ и РМ	28.02.2017 23:59:59	Дилер	218 668,17	198 532,59	8
ЗЧ и РМ	28.02.2017 23:59:59	КПК	321 639,17	297 726,20	5
ЗЧ и РМ	28.02.2017 23:59:59	Розница	296 227,81	222 654,93	14
Компрессорное	28.02.2017 23:59:59	Дилер	407 151,99	398 498,32	5
Компрессорное	28.02.2017 23:59:59	Розница	333 359,56	319 159,11	4
Насосное	28.02.2017 23:59:59	Дилер	619 761,22	557 340,10	10
Насосное	28.02.2017 23:59:59	КПК	163 223,91	163 223,91	1
Насосное	28.02.2017 23:59:59	Розница	1 146 034,51	1 146 033,62	4
Подготовка поверхности	28.02.2017 23:59:59	Дилер	310 039,67	291 280,43	5
Подготовка поверхности	28.02.2017 23:59:59	Розница	40 732,02	40 732,02	1
Сварочное	28.02.2017 23:59:59	Дилер	43 164,00	38 107,37	4
Сварочное	28.02.2017 23:59:59	Розница	27 764,92	27 764,92	1
Химическое	28.02.2017 23:59:59	Розница	1 000 435,98	989 875,56	2
Автосервис	01.03.2017 23:59:59	Розница	14 124,00	14 446,00	2
АТП	01.03.2017 23:59:59	Розница	363 973,68	341 509,25	1
ЗЧ и РМ	01.03.2017 23:59:59	Дилер	73 761,95	72 314,28	5
ЗЧ и РМ	01.03.2017 23:59:59	КПК	7 261,67	7 261,67	1
ЗЧ и РМ	01.03.2017 23:59:59	Розница	432 863,48	423 301,37	18
Компрессорное	01.03.2017 23:59:59	Дилер	63 160,00	63 160,00	3
Компрессорное	01.03.2017 23:59:59	Розница	2 093 999,79	1 838 436,57	11
Металлообработка	01.03.2017 23:59:59	Розница	551 684,85	539 125,40	2
Насосное	01.03.2017 23:59:59	Дилер	1 127 187,28	992 777,70	8
Насосное	01.03.2017 23:59:59	Розница	199 096,43	199 105,87	6
Подготовка поверхности	01.03.2017 23:59:59	Дилер	44 328,88	39 042,96	1
Подготовка поверхности	01.03.2017 23:59:59	Розница	747 186,07	747 186,05	5
Сварочное	01.03.2017 23:59:59	Дилер	1 043 516,70	978 705,96	3
Сварочное	01.03.2017 23:59:59	Розница	190 518,21	99 143,59	5
Химическое	01.03.2017 23:59:59	Розница	366 980,55	323 826,35	3
Дуговая сварка.	02.03.2017 23:59:59	КПК	1 447 084,54	1 447 084,54	2
Дуговая сварка.	02.03.2017 23:59:59	Розница	16 410,91	16 410,91	1
ЗЧ и РМ	02.03.2017 23:59:59	Дилер	264 868,16	285 709,78	14
ЗЧ и РМ	02.03.2017 23:59:59	КПК	509 568,12	509 568,12	3
ЗЧ и РМ	02.03.2017 23:59:59	Розница	295 402,96	290 927,27	26
Комплексные поставки	02.03.2017 23:59:59	КПК	170 763,78	150 777,17	1
Компрессорное	02.03.2017 23:59:59	Дилер	286 310,87	267 193,58	4
Компрессорное	02.03.2017 23:59:59	Розница	350 889,16	350 889,08	3
Металлообработка	02.03.2017 23:59:59	Розница	130 338,07	115 082,98	1
Насосное	02.03.2017 23:59:59	Дилер	456 360,67	403 469,31	13
Насосное	02.03.2017 23:59:59	Розница	621 994,75	610 552,58	6
Подготовка поверхности	02.03.2017 23:59:59	Дилер	79 565,61	79 565,61	1
Подготовка поверхности	02.03.2017 23:59:59	Розница	518 502,81	518 502,50	6
Сварочное	02.03.2017 23:59:59	Дилер	77 069,87	67 848,14	2
Сварочное	02.03.2017 23:59:59	Розница	353 691,61	353 691,61	3
Химическое	02.03.2017 23:59:59	Дилер	16 657,48	14 708,06	1
Химическое	02.03.2017 23:59:59	Розница	328 066,73	296 307,31	6
Дуговая сварка.	03.03.2017 23:59:59	Розница	1 494 052,32	1 475 392,33	4
ЗЧ и РМ	03.03.2017 23:59:59	Дилер	78 280,33	72 655,78	11
ЗЧ и РМ	03.03.2017 23:59:59	Розница	2 299 014,78	2 297 822,53	25
Компрессорное	03.03.2017 23:59:59	Дилер	22 490,00	22 489,99	2
Компрессорное	03.03.2017 23:59:59	КПК	192 223,25	176 723,40	2
Компрессорное	03.03.2017 23:59:59	Розница	120 693,31	120 693,23	4
Насосное	03.03.2017 23:59:59	Дилер	1 450 628,19	1 401 040,07	10
Насосное	03.03.2017 23:59:59	Розница	267 130,54	267 130,54	4
Подготовка поверхности	03.03.2017 23:59:59	Дилер	19 520,00	19 520,00	1
Подготовка поверхности	03.03.2017 23:59:59	Розница	1 760 359,14	1 673 904,56	5
Сварочное	03.03.2017 23:59:59	Дилер	1 053 456,98	890 601,57	4
Сварочное	03.03.2017 23:59:59	Розница	1 419 840,22	1 419 839,44	6
Химическое	03.03.2017 23:59:59	Розница	41 774,30	41 774,30	1
ЗЧ и РМ	05.03.2017 23:59:59	Розница	3 390,97	3 390,97	1
Автосервис	06.03.2017 23:59:59	Розница	129 366,00	129 366,00	2
Дуговая сварка.	06.03.2017 23:59:59	Розница	77 154,13	77 154,13	4
ЗЧ и РМ	06.03.2017 23:59:59	Дилер	88 791,91	80 095,56	9
ЗЧ и РМ	06.03.2017 23:59:59	Розница	1 882 512,42	1 880 798,24	25
Компрессорное	06.03.2017 23:59:59	Дилер	9 186,39	8 169,82	1
Компрессорное	06.03.2017 23:59:59	Розница	258 442,42	258 442,37	5
Насосное	06.03.2017 23:59:59	Дилер	663 788,54	601 338,58	9
Насосное	06.03.2017 23:59:59	Розница	163 246,06	162 994,31	7
Подготовка поверхности	06.03.2017 23:59:59	Дилер	38 868,00	38 868,00	4
Подготовка поверхности	06.03.2017 23:59:59	Розница	137 270,00	137 270,00	1
Сварочное	06.03.2017 23:59:59	Дилер	257 705,87	228 679,38	3
Сварочное	06.03.2017 23:59:59	Розница	269 908,84	269 908,84	4
Химическое	06.03.2017 23:59:59	Дилер	117 919,82	105 649,93	2
Химическое	06.03.2017 23:59:59	КПК	354 180,10	314 978,63	1
Химическое	06.03.2017 23:59:59	Розница	89 528,31	79 619,11	2
Автосервис	07.03.2017 23:59:59	Розница	56 800,00	56 800,00	2
Дуговая сварка.	07.03.2017 23:59:59	Розница	64 027,90	64 027,90	2
ЗЧ и РМ	07.03.2017 23:59:59	Дилер	171 108,04	160 617,22	9
ЗЧ и РМ	07.03.2017 23:59:59	КПК	3 455,85	3 455,85	1
ЗЧ и РМ	07.03.2017 23:59:59	Розница	327 417,89	305 060,49	15
Компрессорное	07.03.2017 23:59:59	Дилер	86 810,11	82 129,37	2
Компрессорное	07.03.2017 23:59:59	Розница	205 390,28	205 390,28	3
Насосное	07.03.2017 23:59:59	Дилер	552 145,37	490 740,64	7
Насосное	07.03.2017 23:59:59	КПК	13 678,56	13 678,56	1
Насосное	07.03.2017 23:59:59	Розница	310 006,30	310 006,30	6
Подготовка поверхности	07.03.2017 23:59:59	Розница	365 634,12	361 175,82	4
Сварочное	07.03.2017 23:59:59	Дилер	224 207,88	223 174,72	4
Сварочное	07.03.2017 23:59:59	Розница	160 632,51	160 632,51	1
Химическое	07.03.2017 23:59:59	КПК	39 647,17	35 188,16	1
Химическое	07.03.2017 23:59:59	Розница	264 322,66	250 165,60	2
ЗЧ и РМ	08.03.2017 23:59:59	Розница	7 150,00	7 150,00	1
Подготовка поверхности	08.03.2017 23:59:59	Розница	18 751,18	18 751,18	1
Автосервис	09.03.2017 23:59:59	Розница	66 200,00	66 200,00	1
АТП	09.03.2017 23:59:59	Розница	7 669,00	7 669,00	1
Дуговая сварка.	09.03.2017 23:59:59	Розница	47 616,25	47 616,25	3
ЗЧ и РМ	09.03.2017 23:59:59	Дилер	149 913,40	145 889,31	9
ЗЧ и РМ	09.03.2017 23:59:59	КПК	25 811,63	25 811,63	1
ЗЧ и РМ	09.03.2017 23:59:59	Розница	54 957,18	54 179,68	13
Комплексные поставки	09.03.2017 23:59:59	КПК	7 582,80	7 582,80	1
Компрессорное	09.03.2017 23:59:59	Дилер	230 369,09	209 125,99	3
Компрессорное	09.03.2017 23:59:59	Розница	134 529,37	133 242,36	5
Насосное	09.03.2017 23:59:59	Дилер	659 143,62	585 639,55	11
Насосное	09.03.2017 23:59:59	Розница	508 305,96	474 304,92	5
Подготовка поверхности	09.03.2017 23:59:59	Дилер	182 000,00	182 000,00	1
Подготовка поверхности	09.03.2017 23:59:59	Розница	188 779,18	188 779,18	6
Сварочное	09.03.2017 23:59:59	Дилер	91 797,69	82 825,32	3
Сварочное	09.03.2017 23:59:59	КПК	160 000,00	160 000,00	1
Сварочное	09.03.2017 23:59:59	Розница	83 411,29	83 411,29	2
Химическое	09.03.2017 23:59:59	Розница	154 523,79	137 434,27	1
