
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
ЗЧ и РМ	PУТЕКТОР	25.10.2016 23:59:59	Розница	652 662,79	521 196,31	22	17
Компрессорное	PУТЕКТОР	25.10.2016 23:59:59	Розница	2 527 545,46	2 433 035,52	3	1
Насосное	PУТЕКТОР	25.10.2016 23:59:59	Розница	7 803 387,68	1 467 803,68	11	6
Сварочное	PУТЕКТОР	25.10.2016 23:59:59	Розница	2 678 161,94	1 541 267,86	7	4
Строительное	PУТЕКТОР	25.10.2016 23:59:59	Розница	98 270,00	98 270,00	3	3
Химическое	PУТЕКТОР	25.10.2016 23:59:59	Розница	38 364,42	39 160,92	1	1
ЗЧ и РМ	PУТЕКТОР	26.10.2016 23:59:59	Дилер	282 697,51	118 071,30	10	6
Компрессорное	PУТЕКТОР	26.10.2016 23:59:59	Дилер	459 804,05	459 901,12	6	6
Насосное	PУТЕКТОР	26.10.2016 23:59:59	Дилер	1 014 344,53	1 027 460,84	11	11
Подготовка поверхности	PУТЕКТОР	26.10.2016 23:59:59	Дилер	17 040,00	17 040,00	1	1
Сварочное	PУТЕКТОР	26.10.2016 23:59:59	Дилер	809 179,73	701 151,24	7	6
Строительное	PУТЕКТОР	26.10.2016 23:59:59	Дилер	69 310,00	69 310,00	1	1
ЗЧ и РМ	PУТЕКТОР	26.10.2016 23:59:59	КПК	39 000,00	39 000,00	1	1
Компрессорное	PУТЕКТОР	26.10.2016 23:59:59	КПК	37 500,00	37 500,00	1	1
Насосное	PУТЕКТОР	26.10.2016 23:59:59	КПК	365 489,70		1	
Сварочное	PУТЕКТОР	26.10.2016 23:59:59	КПК	4 400 000,00		1	
АТП	PУТЕКТОР	26.10.2016 23:59:59	Розница	44 749,72	47 304,45	1	1
Дуговая сварка.	PУТЕКТОР	26.10.2016 23:59:59	Розница	1 031 453,57	1 031 453,57	4	4
ЗЧ и РМ	PУТЕКТОР	26.10.2016 23:59:59	Розница	648 082,55	314 565,79	21	16
Компрессорное	PУТЕКТОР	26.10.2016 23:59:59	Розница	1 341 381,49	868 225,72	9	7
Металлообработка	PУТЕКТОР	26.10.2016 23:59:59	Розница	26 520,00	26 520,00	1	1
Насосное	PУТЕКТОР	26.10.2016 23:59:59	Розница	3 265 377,27	3 178 939,91	9	6
НГО	PУТЕКТОР	26.10.2016 23:59:59	Розница	0,02		1	
Подготовка поверхности	PУТЕКТОР	26.10.2016 23:59:59	Розница	160 000,00	160 000,00	1	1
Сварочное	PУТЕКТОР	26.10.2016 23:59:59	Розница	751 427,20	758 221,72	9	9
Строительное	PУТЕКТОР	26.10.2016 23:59:59	Розница	60 814,00	45 914,00	3	2
Химическое	PУТЕКТОР	26.10.2016 23:59:59	Розница	1 035 083,20	942 741,27	3	2
ЗЧ и РМ	PУТЕКТОР	27.10.2016 23:59:59	Дилер	205 523,62	89 191,91	12	7
Компрессорное	PУТЕКТОР	27.10.2016 23:59:59	Дилер	45 545,00	45 886,35	3	3
Насосное	PУТЕКТОР	27.10.2016 23:59:59	Дилер	750 628,91	754 423,90	10	10
Сварочное	PУТЕКТОР	27.10.2016 23:59:59	Дилер	33 147,55	33 848,25	2	2
Строительное	PУТЕКТОР	27.10.2016 23:59:59	Дилер	160 380,00	160 380,00	5	5
ЗЧ и РМ	PУТЕКТОР	27.10.2016 23:59:59	КПК	427 327,54	415 204,53	3	3
Сварочное	PУТЕКТОР	27.10.2016 23:59:59	КПК	1 100 000,00	1 100 000,00	1	1
Строительное	PУТЕКТОР	27.10.2016 23:59:59	КПК	465 600,00		1	
АТП	PУТЕКТОР	27.10.2016 23:59:59	Розница	179 046,45		1	
Дуговая сварка.	PУТЕКТОР	27.10.2016 23:59:59	Розница	125 663,57	126 399,29	3	3
ЗЧ и РМ	PУТЕКТОР	27.10.2016 23:59:59	Розница	656 218,20	390 338,32	24	17
Компрессорное	PУТЕКТОР	27.10.2016 23:59:59	Розница	1 725 893,85	1 284 512,58	12	10
Насосное	PУТЕКТОР	27.10.2016 23:59:59	Розница	2 176 650,56	1 362 124,57	17	7
Подготовка поверхности	PУТЕКТОР	27.10.2016 23:59:59	Розница	491 887,51	491 887,48	3	3
Сварочное	PУТЕКТОР	27.10.2016 23:59:59	Розница	349 640,44	133 912,12	5	3
Строительное	PУТЕКТОР	27.10.2016 23:59:59	Розница	173 400,00	55 770,00	2	1
Строительное	Рутектор	27.10.2016 23:59:59	Розница	363 750,00		1	
ЗЧ и РМ	PУТЕКТОР	28.10.2016 23:59:59	Дилер	104 874,76	79 114,08	12	8
Компрессорное	PУТЕКТОР	28.10.2016 23:59:59	Дилер	63 600,00	63 600,00	1	1
Насосное	PУТЕКТОР	28.10.2016 23:59:59	Дилер	717 150,71	697 784,71	7	7
Сварочное	PУТЕКТОР	28.10.2016 23:59:59	Дилер	236 849,99	238 274,71	5	5
Строительное	PУТЕКТОР	28.10.2016 23:59:59	Дилер	646 807,50	646 807,50	4	4
Химическое	PУТЕКТОР	28.10.2016 23:59:59	Дилер	113 243,77	105 996,90	1	1
ЗЧ и РМ	PУТЕКТОР	28.10.2016 23:59:59	КПК	86 176,44	86 176,22	1	1
Насосное	PУТЕКТОР	28.10.2016 23:59:59	КПК	412 796,31		1	
Подготовка поверхности	PУТЕКТОР	28.10.2016 23:59:59	КПК	308 255,21	308 255,04	1	1
Автосервис	PУТЕКТОР	28.10.2016 23:59:59	Розница	7 400,00	7 400,00	2	2
ЗЧ и РМ	PУТЕКТОР	28.10.2016 23:59:59	Розница	542 752,29	283 916,19	24	19
ЗЧ и РМ	Рутектор	28.10.2016 23:59:59	Розница	4 105 493,78		4	
Компрессорное	PУТЕКТОР	28.10.2016 23:59:59	Розница	278 593,99	205 593,99	4	3
Металлообработка	PУТЕКТОР	28.10.2016 23:59:59	Розница	604 379,30	616 755,67	1	1
Насосное	PУТЕКТОР	28.10.2016 23:59:59	Розница	378 496,05	250 216,02	6	4
Подготовка поверхности	PУТЕКТОР	28.10.2016 23:59:59	Розница	21 947,27	21 947,27	2	2
Сварочное	PУТЕКТОР	28.10.2016 23:59:59	Розница	377 599,76	223 494,32	6	5
Строительное	PУТЕКТОР	28.10.2016 23:59:59	Розница	21 842,00	15 642,00	2	1
Химическое	PУТЕКТОР	28.10.2016 23:59:59	Розница	1 063 344,53	209 059,85	5	1
ЗЧ и РМ	PУТЕКТОР	31.10.2016 23:59:59	Дилер	357 063,35	196 138,42	9	7
Компрессорное	PУТЕКТОР	31.10.2016 23:59:59	Дилер	294 220,00	294 220,00	3	3
Насосное	PУТЕКТОР	31.10.2016 23:59:59	Дилер	289 420,66	289 393,95	7	7
Подготовка поверхности	PУТЕКТОР	31.10.2016 23:59:59	Дилер	64 282,89	64 282,89	1	1
Сварочное	PУТЕКТОР	31.10.2016 23:59:59	Дилер	271 000,00	271 000,00	1	1
Химическое	PУТЕКТОР	31.10.2016 23:59:59	Дилер	75 175,27	75 840,78	1	1
Сварочное	PУТЕКТОР	31.10.2016 23:59:59	КПК	93 300,00	93 300,00	2	2
Автосервис	PУТЕКТОР	31.10.2016 23:59:59	Розница	14 055,00	4 455,00	2	1
АТП	PУТЕКТОР	31.10.2016 23:59:59	Розница	47 024,03	47 440,33	1	1
ЗЧ и РМ	PУТЕКТОР	31.10.2016 23:59:59	Розница	920 680,67	789 554,69	20	13
Компрессорное	PУТЕКТОР	31.10.2016 23:59:59	Розница	425 645,54	249 874,52	7	5
Металлообработка	PУТЕКТОР	31.10.2016 23:59:59	Розница	388 032,40	391 467,59	1	1
Насосное	PУТЕКТОР	31.10.2016 23:59:59	Розница	1 051 475,02	897 506,79	12	8
Подготовка поверхности	PУТЕКТОР	31.10.2016 23:59:59	Розница	25 067,60	25 067,60	1	1
Сварочное	PУТЕКТОР	31.10.2016 23:59:59	Розница	205 828,08	205 828,08	2	2
Строительное	PУТЕКТОР	31.10.2016 23:59:59	Розница	31 000,00	31 000,00	1	1
Химическое	PУТЕКТОР	31.10.2016 23:59:59	Розница	76 843,46	47 227,09	2	1
ЗЧ и РМ	PУТЕКТОР	01.11.2016 23:59:59	Дилер	138 648,04	69 815,19	11	7
Компрессорное	PУТЕКТОР	01.11.2016 23:59:59	Дилер	48 784,48	48 829,25	2	2
Насосное	PУТЕКТОР	01.11.2016 23:59:59	Дилер	107 259,35	107 271,82	3	3
Подготовка поверхности	PУТЕКТОР	01.11.2016 23:59:59	Дилер	7 794,71	7 560,97	1	1
Сварочное	PУТЕКТОР	01.11.2016 23:59:59	Дилер	206 009,65	6 771,97	3	2
Строительное	PУТЕКТОР	01.11.2016 23:59:59	Дилер	13 180,00	13 180,00	2	2
Химическое	PУТЕКТОР	01.11.2016 23:59:59	Дилер	58 754,78	60 476,75	1	1
Автосервис	PУТЕКТОР	01.11.2016 23:59:59	Розница	11 595,00	11 595,00	2	2
ЗЧ и РМ	PУТЕКТОР	01.11.2016 23:59:59	Розница	393 379,54	387 780,28	24	23
Компрессорное	PУТЕКТОР	01.11.2016 23:59:59	Розница	169 164,42	88 164,42	4	3
Насосное	PУТЕКТОР	01.11.2016 23:59:59	Розница	162 076,73	116 566,34	5	3
Сварочное	PУТЕКТОР	01.11.2016 23:59:59	Розница	527 027,68	368 068,62	6	2
Строительное	PУТЕКТОР	01.11.2016 23:59:59	Розница	96 000,00	85 000,00	2	1
Химическое	PУТЕКТОР	01.11.2016 23:59:59	Розница	240 341,70		1	
ЗЧ и РМ	PУТЕКТОР	02.11.2016 23:59:59	Дилер	171 039,83	84 046,54	11	7
Компрессорное	PУТЕКТОР	02.11.2016 23:59:59	Дилер	56 160,00	56 160,00	3	3
Насосное	PУТЕКТОР	02.11.2016 23:59:59	Дилер	898 455,31	904 968,60	8	8
Подготовка поверхности	PУТЕКТОР	02.11.2016 23:59:59	Дилер	17 350,00	17 350,00	1	1
Сварочное	PУТЕКТОР	02.11.2016 23:59:59	Дилер	108 153,00	108 153,00	2	2
Строительное	PУТЕКТОР	02.11.2016 23:59:59	Дилер	104 600,00	104 600,00	1	1
Химическое	PУТЕКТОР	02.11.2016 23:59:59	Дилер	168 459,11	168 870,71	4	4
ЗЧ и РМ	PУТЕКТОР	02.11.2016 23:59:59	КПК	408 991,03	408 991,03	2	2
Насосное	PУТЕКТОР	02.11.2016 23:59:59	КПК	100 000,00		1	
Дуговая сварка.	PУТЕКТОР	02.11.2016 23:59:59	Розница	644 480,95	645 497,92	2	2
ЗЧ и РМ	PУТЕКТОР	02.11.2016 23:59:59	Розница	363 939,73	179 550,84	26	18
Компрессорное	PУТЕКТОР	02.11.2016 23:59:59	Розница	428 713,01	418 724,49	4	3
Компрессорное	Рутектор	02.11.2016 23:59:59	Розница	380 812,20	380 812,20	1	1
Металлообработка	PУТЕКТОР	02.11.2016 23:59:59	Розница	263 585,86	264 522,22	2	2
Насосное	PУТЕКТОР	02.11.2016 23:59:59	Розница	161 458,47	161 458,47	8	8
Подготовка поверхности	PУТЕКТОР	02.11.2016 23:59:59	Розница	21 691,10	21 691,10	1	1
Сварочное	PУТЕКТОР	02.11.2016 23:59:59	Розница	782 839,22	725 871,65	5	2
Строительное	PУТЕКТОР	02.11.2016 23:59:59	Розница	24 277,00	24 277,00	3	3
Химическое	PУТЕКТОР	02.11.2016 23:59:59	Розница	133 293,30	14 339,08	2	1
ЗЧ и РМ	PУТЕКТОР	03.11.2016 23:59:59	Дилер	557 309,25	68 343,88	17	11
Компрессорное	PУТЕКТОР	03.11.2016 23:59:59	Дилер	321 572,86	321 258,21	3	3
Насосное	PУТЕКТОР	03.11.2016 23:59:59	Дилер	196 915,49	121 771,49	8	6
Подготовка поверхности	PУТЕКТОР	03.11.2016 23:59:59	Дилер	18 963,15	16 766,00	1	1
Сварочное	PУТЕКТОР	03.11.2016 23:59:59	Дилер	406 165,42	369 366,71	4	3
Строительное	PУТЕКТОР	03.11.2016 23:59:59	Дилер	86 710,00	86 710,00	4	4
Насосное	PУТЕКТОР	03.11.2016 23:59:59	КПК	523 856,68		2	
Сварочное	PУТЕКТОР	03.11.2016 23:59:59	КПК	86 000,00	86 000,00	1	1
Автосервис	PУТЕКТОР	03.11.2016 23:59:59	Розница	9 600,00		1	
Дуговая сварка.	PУТЕКТОР	03.11.2016 23:59:59	Розница	45 543,00	45 543,00	2	2
ЗЧ и РМ	PУТЕКТОР	03.11.2016 23:59:59	Розница	327 105,54	58 981,30	15	9
Компрессорное	PУТЕКТОР	03.11.2016 23:59:59	Розница	1 151 526,13	1 151 085,22	8	8
Металлообработка	PУТЕКТОР	03.11.2016 23:59:59	Розница	700 000,00	700 000,00	1	1
Насосное	PУТЕКТОР	03.11.2016 23:59:59	Розница	904 591,52	629 163,98	13	8
Подготовка поверхности	PУТЕКТОР	03.11.2016 23:59:59	Розница	4 035 639,89	3 774 168,72	1	1
Сварочное	PУТЕКТОР	03.11.2016 23:59:59	Розница	73 140,17	3 749,08	2	1
Строительное	PУТЕКТОР	03.11.2016 23:59:59	Розница	18 440,00	18 440,00	2	2
Сварочное	PУТЕКТОР	05.11.2016 23:59:59	Розница	245 397,61		1	
Дуговая сварка.	PУТЕКТОР	07.11.2016 23:59:59	Дилер	1 581,39	1 593,22	1	1
ЗЧ и РМ	PУТЕКТОР	07.11.2016 23:59:59	Дилер	53 749,53	53 520,60	10	10
Компрессорное	PУТЕКТОР	07.11.2016 23:59:59	Дилер	54 400,00	54 400,00	1	1
Насосное	PУТЕКТОР	07.11.2016 23:59:59	Дилер	1 646 375,62	1 628 754,50	16	16
Подготовка поверхности	PУТЕКТОР	07.11.2016 23:59:59	Дилер	79 140,00	79 139,93	2	2
Сварочное	PУТЕКТОР	07.11.2016 23:59:59	Дилер	51 073,91	51 073,91	2	2
Строительное	PУТЕКТОР	07.11.2016 23:59:59	Дилер	267 910,00	267 910,00	2	2
Химическое	PУТЕКТОР	07.11.2016 23:59:59	Дилер	92 327,67	93 310,35	1	1
ЗЧ и РМ	PУТЕКТОР	07.11.2016 23:59:59	КПК	10 600,00	10 600,00	1	1
ЗЧ и РМ	Рутектор	07.11.2016 23:59:59	КПК	179 223,68	174 441,52	3	3
Насосное	PУТЕКТОР	07.11.2016 23:59:59	КПК	3 217 202,70	3 217 202,70	1	1
Автосервис	PУТЕКТОР	07.11.2016 23:59:59	Розница	113 276,00	56 710,00	3	2
ЗЧ и РМ	PУТЕКТОР	07.11.2016 23:59:59	Розница	631 971,28	378 341,80	23	16
Компрессорное	PУТЕКТОР	07.11.2016 23:59:59	Розница	584 686,51	584 686,51	4	4
Насосное	PУТЕКТОР	07.11.2016 23:59:59	Розница	1 805 927,20	639 764,72	11	5
Подготовка поверхности	PУТЕКТОР	07.11.2016 23:59:59	Розница	83 608,05	83 608,05	2	2
Сварочное	PУТЕКТОР	07.11.2016 23:59:59	Розница	3 514 453,45	3 194 037,79	8	4
Строительное	PУТЕКТОР	07.11.2016 23:59:59	Розница	47 120,00	47 120,00	3	3
Химическое	PУТЕКТОР	07.11.2016 23:59:59	Розница	359 206,04	31 165,26	2	1
ЗЧ и РМ	PУТЕКТОР	08.11.2016 23:59:59	Дилер	114 881,71	35 214,59	10	5
Компрессорное	PУТЕКТОР	08.11.2016 23:59:59	Дилер	528 445,96	528 445,96	3	3
Насосное	PУТЕКТОР	08.11.2016 23:59:59	Дилер	673 682,52	670 824,57	11	11
Сварочное	PУТЕКТОР	08.11.2016 23:59:59	Дилер	337 700,08	303 796,55	2	2
Строительное	PУТЕКТОР	08.11.2016 23:59:59	Дилер	27 800,00	27 800,00	1	1
Химическое	PУТЕКТОР	08.11.2016 23:59:59	Дилер	56 060,66	55 870,18	1	1
ЗЧ и РМ	PУТЕКТОР	08.11.2016 23:59:59	КПК	424 677,60	424 677,60	1	1
ЗЧ и РМ	Рутектор	08.11.2016 23:59:59	КПК	284 000,00	284 000,00	1	1
Автосервис	PУТЕКТОР	08.11.2016 23:59:59	Розница	62 000,00	55 000,00	2	1
АТП	PУТЕКТОР	08.11.2016 23:59:59	Розница	4 031 772,33	3 729 738,38	2	2
ЗЧ и РМ	PУТЕКТОР	08.11.2016 23:59:59	Розница	841 356,08	448 564,30	31	24
Компрессорное	PУТЕКТОР	08.11.2016 23:59:59	Розница	241 700,00	183 000,00	3	2
Насосное	PУТЕКТОР	08.11.2016 23:59:59	Розница	1 108 355,65	873 675,34	11	8
Подготовка поверхности	PУТЕКТОР	08.11.2016 23:59:59	Розница	43 866,04	43 866,04	2	2
Сварочное	PУТЕКТОР	08.11.2016 23:59:59	Розница	474 184,29	75 784,69	6	2
Строительное	PУТЕКТОР	08.11.2016 23:59:59	Розница	175 577,00	5 577,00	2	1
Химическое	PУТЕКТОР	08.11.2016 23:59:59	Розница	60 981,70	54 869,41	1	1
ЗЧ и РМ	PУТЕКТОР	09.11.2016 23:59:59	Дилер	199 862,64	25 548,95	11	8
Компрессорное	PУТЕКТОР	09.11.2016 23:59:59	Дилер	210 226,49	211 743,18	2	2
Насосное	PУТЕКТОР	09.11.2016 23:59:59	Дилер	201 481,11	199 976,92	5	5
Сварочное	PУТЕКТОР	09.11.2016 23:59:59	Дилер	33 374,15	32 845,99	2	2
Строительное	PУТЕКТОР	09.11.2016 23:59:59	Дилер	53 520,00	53 520,00	3	3
Химическое	PУТЕКТОР	09.11.2016 23:59:59	Дилер	25 222,60	25 282,00	1	1
ЗЧ и РМ	PУТЕКТОР	09.11.2016 23:59:59	КПК	686 680,00		1	
Насосное	PУТЕКТОР	09.11.2016 23:59:59	КПК	107 085,40		1	
Сварочное	PУТЕКТОР	09.11.2016 23:59:59	КПК	465 996,06	171 996,06	2	1
Строительное	PУТЕКТОР	09.11.2016 23:59:59	КПК	124 500,00	124 500,00	1	1
ЗЧ и РМ	PУТЕКТОР	09.11.2016 23:59:59	Розница	344 645,35	155 983,45	29	20
Компрессорное	PУТЕКТОР	09.11.2016 23:59:59	Розница	312 500,00	312 500,00	2	2
Насосное	PУТЕКТОР	09.11.2016 23:59:59	Розница	793 860,16	359 026,35	9	6
Подготовка поверхности	PУТЕКТОР	09.11.2016 23:59:59	Розница	798 105,18	798 105,18	1	1
Сварочное	PУТЕКТОР	09.11.2016 23:59:59	Розница	75 238,92	9 765,00	2	1
Строительное	PУТЕКТОР	09.11.2016 23:59:59	Розница	50 000,00	50 000,00	1	1
Химическое	PУТЕКТОР	09.11.2016 23:59:59	Розница	833 301,28		1	
Дуговая сварка.	PУТЕКТОР	10.11.2016 23:59:59	Дилер	6 421,42	6 240,53	1	1
ЗЧ и РМ	PУТЕКТОР	10.11.2016 23:59:59	Дилер	224 274,68	67 105,07	7	2
Компрессорное	PУТЕКТОР	10.11.2016 23:59:59	Дилер	17 979,97	17 924,21	2	2
Насосное	PУТЕКТОР	10.11.2016 23:59:59	Дилер	409 264,47	403 101,36	6	6
Сварочное	PУТЕКТОР	10.11.2016 23:59:59	Дилер	2 135 153,06	2 101 887,62	3	3
Строительное	PУТЕКТОР	10.11.2016 23:59:59	Дилер	8 920,00	8 920,00	1	1
Насосное	PУТЕКТОР	10.11.2016 23:59:59	КПК	355 428,00		1	
Дуговая сварка.	PУТЕКТОР	10.11.2016 23:59:59	Розница	105 852,48	105 852,48	1	1
ЗЧ и РМ	PУТЕКТОР	10.11.2016 23:59:59	Розница	892 639,46	266 713,66	30	18
ЗЧ и РМ	Рутектор	10.11.2016 23:59:59	Розница	808 627,42	424 095,96	3	2
Компрессорное	PУТЕКТОР	10.11.2016 23:59:59	Розница	493 685,94	416 648,88	8	5
Насосное	PУТЕКТОР	10.11.2016 23:59:59	Розница	846 338,70	166 175,85	11	5
Подготовка поверхности	PУТЕКТОР	10.11.2016 23:59:59	Розница	10 031,67	10 031,67	1	1
Сварочное	PУТЕКТОР	10.11.2016 23:59:59	Розница	418 016,79	371 573,25	7	5
Строительное	PУТЕКТОР	10.11.2016 23:59:59	Розница	99 948,00	99 948,00	2	2
Химическое	PУТЕКТОР	10.11.2016 23:59:59	Розница	547 475,20		2	
ЗЧ и РМ	PУТЕКТОР	11.11.2016 23:59:59	Дилер	528 753,47	137 837,77	21	11
Компрессорное	PУТЕКТОР	11.11.2016 23:59:59	Дилер	99 467,52	45 067,52	5	4
Насосное	PУТЕКТОР	11.11.2016 23:59:59	Дилер	436 995,33	409 500,23	12	11
Сварочное	PУТЕКТОР	11.11.2016 23:59:59	Дилер	674 092,57	650 692,35	4	3
Строительное	PУТЕКТОР	11.11.2016 23:59:59	Дилер	11 000,00	11 000,00	2	2
Химическое	PУТЕКТОР	11.11.2016 23:59:59	Дилер	44 654,44	45 476,45	1	1
ЗЧ и РМ	PУТЕКТОР	11.11.2016 23:59:59	КПК	513 024,54	17 139,83	2	1
Насосное	PУТЕКТОР	11.11.2016 23:59:59	КПК	34 149,56	34 227,96	1	1
Сварочное	PУТЕКТОР	11.11.2016 23:59:59	КПК	2 677 739,74	1 959 999,09	2	1
Автосервис	PУТЕКТОР	11.11.2016 23:59:59	Розница	61 561,00	61 570,00	2	2
ЗЧ и РМ	PУТЕКТОР	11.11.2016 23:59:59	Розница	323 082,93	281 741,03	22	18
Компрессорное	PУТЕКТОР	11.11.2016 23:59:59	Розница	422 743,56	349 743,56	8	7
Насосное	PУТЕКТОР	11.11.2016 23:59:59	Розница	925 535,95	434 224,48	11	7
Подготовка поверхности	PУТЕКТОР	11.11.2016 23:59:59	Розница	179 748,00	179 748,00	1	1
Сварочное	PУТЕКТОР	11.11.2016 23:59:59	Розница	578 152,08	64 612,31	5	2
Строительное	PУТЕКТОР	11.11.2016 23:59:59	Розница	1 504 654,00	1 504 654,00	2	2
Химическое	PУТЕКТОР	11.11.2016 23:59:59	Розница	194 217,71		1	
ЗЧ и РМ	PУТЕКТОР	14.11.2016 23:59:59	Дилер	265 560,34	164 049,45	13	8
Компрессорное	PУТЕКТОР	14.11.2016 23:59:59	Дилер	152 672,40	152 672,40	6	6
Насосное	PУТЕКТОР	14.11.2016 23:59:59	Дилер	1 710 559,61	1 390 086,39	12	11
Подготовка поверхности	PУТЕКТОР	14.11.2016 23:59:59	Дилер	19 144,00	19 144,00	1	1
Сварочное	PУТЕКТОР	14.11.2016 23:59:59	Дилер	166 419,06	162 801,40	5	5
Строительное	PУТЕКТОР	14.11.2016 23:59:59	Дилер	30 770,00	30 770,00	2	2
ЗЧ и РМ	PУТЕКТОР	14.11.2016 23:59:59	КПК	6 355,60	6 355,60	1	1
Автосервис	PУТЕКТОР	14.11.2016 23:59:59	Розница	140 000,00	140 000,00	1	1
Дуговая сварка.	PУТЕКТОР	14.11.2016 23:59:59	Розница	6 410,00	6 410,00	1	1
ЗЧ и РМ	PУТЕКТОР	14.11.2016 23:59:59	Розница	348 029,50	276 758,08	25	18
ЗЧ и РМ	Рутектор	14.11.2016 23:59:59	Розница	7 342,26	7 289,65	1	1
Компрессорное	PУТЕКТОР	14.11.2016 23:59:59	Розница	1 956 500,05	912 622,47	8	6
Металлообработка	PУТЕКТОР	14.11.2016 23:59:59	Розница	2 560 510,80	2 387 519,04	1	1
Насосное	PУТЕКТОР	14.11.2016 23:59:59	Розница	2 262 504,13	1 137 973,41	8	6
Подготовка поверхности	PУТЕКТОР	14.11.2016 23:59:59	Розница	29 600,00	29 600,00	1	1
Сварочное	PУТЕКТОР	14.11.2016 23:59:59	Розница	501 272,90	501 272,90	4	4
Химическое	PУТЕКТОР	14.11.2016 23:59:59	Розница	3 769,64		1	
ЗЧ и РМ	PУТЕКТОР	15.11.2016 23:59:59	Дилер	182 481,50	116 414,15	20	16
Компрессорное	PУТЕКТОР	15.11.2016 23:59:59	Дилер	268 479,05	267 741,94	6	6
Насосное	PУТЕКТОР	15.11.2016 23:59:59	Дилер	257 376,97	251 681,68	7	7
Подготовка поверхности	PУТЕКТОР	15.11.2016 23:59:59	Дилер	1 420,98	1 412,30	1	1
Сварочное	PУТЕКТОР	15.11.2016 23:59:59	Дилер	82 743,43	80 259,14	5	5
Строительное	PУТЕКТОР	15.11.2016 23:59:59	Дилер	23 040,00	23 040,00	1	1
Химическое	PУТЕКТОР	15.11.2016 23:59:59	Дилер	74 386,65	74 347,11	2	2
НГО	PУТЕКТОР	15.11.2016 23:59:59	КПК	19 757,73		1	
Автосервис	PУТЕКТОР	15.11.2016 23:59:59	Розница	213 800,00	213 800,00	1	1
Дуговая сварка.	PУТЕКТОР	15.11.2016 23:59:59	Розница	50 607,95	50 607,95	1	1
ЗЧ и РМ	PУТЕКТОР	15.11.2016 23:59:59	Розница	2 138 003,53	311 661,97	25	14
ЗЧ и РМ	Рутектор	15.11.2016 23:59:59	Розница	4 926 260,68		1	
Компрессорное	PУТЕКТОР	15.11.2016 23:59:59	Розница	198 731,95	140 031,91	6	5
Металлообработка	PУТЕКТОР	15.11.2016 23:59:59	Розница	21 669,88	21 197,01	1	1
Насосное	PУТЕКТОР	15.11.2016 23:59:59	Розница	1 334 291,79	291 750,33	8	4
Подготовка поверхности	PУТЕКТОР	15.11.2016 23:59:59	Розница	64 228,12		1	
Сварочное	PУТЕКТОР	15.11.2016 23:59:59	Розница	3 412 510,32	3 411 139,80	6	5
Строительное	PУТЕКТОР	15.11.2016 23:59:59	Розница	71 800,00	71 800,00	2	2
Химическое	PУТЕКТОР	15.11.2016 23:59:59	Розница	866 235,50	750 739,54	1	1
Дуговая сварка.	PУТЕКТОР	16.11.2016 23:59:59	Дилер	22 596,99	22 202,11	2	2
ЗЧ и РМ	PУТЕКТОР	16.11.2016 23:59:59	Дилер	755 661,65	84 331,94	12	5
Компрессорное	PУТЕКТОР	16.11.2016 23:59:59	Дилер	99 870,00	99 870,00	3	3
Насосное	PУТЕКТОР	16.11.2016 23:59:59	Дилер	921 899,49	871 704,05	13	13
Сварочное	PУТЕКТОР	16.11.2016 23:59:59	Дилер	113 825,29	111 606,02	2	2
Строительное	PУТЕКТОР	16.11.2016 23:59:59	Дилер	72 820,00	72 820,00	2	2
ЗЧ и РМ	PУТЕКТОР	16.11.2016 23:59:59	КПК	239 633,28	169 233,28	4	2
Автосервис	PУТЕКТОР	16.11.2016 23:59:59	Розница	185 600,00	9 600,00	2	1
АТП	PУТЕКТОР	16.11.2016 23:59:59	Розница	1 412 312,00	20 000,00	1	1
Дуговая сварка.	PУТЕКТОР	16.11.2016 23:59:59	Розница	122 042,30	122 042,30	2	2
ЗЧ и РМ	PУТЕКТОР	16.11.2016 23:59:59	Розница	551 198,50	105 281,17	33	19
Компрессорное	PУТЕКТОР	16.11.2016 23:59:59	Розница	1 520 035,67	1 520 035,67	4	4
Насосное	PУТЕКТОР	16.11.2016 23:59:59	Розница	2 423 501,32	1 070 392,23	18	7
Подготовка поверхности	PУТЕКТОР	16.11.2016 23:59:59	Розница	292 753,63	292 753,63	3	3
Сварочное	PУТЕКТОР	16.11.2016 23:59:59	Розница	1 188 873,45	475 334,07	10	6
Химическое	PУТЕКТОР	16.11.2016 23:59:59	Розница	34 767,59	34 089,72	1	1
ЗЧ и РМ	PУТЕКТОР	17.11.2016 23:59:59	Дилер	199 102,64	137 073,66	15	11
Компрессорное	PУТЕКТОР	17.11.2016 23:59:59	Дилер	145 990,00	145 990,00	4	4
Насосное	PУТЕКТОР	17.11.2016 23:59:59	Дилер	663 319,48	657 175,19	10	10
Сварочное	PУТЕКТОР	17.11.2016 23:59:59	Дилер	72 354,55	66 983,28	3	3
